Domain,Name of Exam,University,Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
ENGINEERING,CUEE 2018,Centurion University Entrance Examination ,Online Test,23 Feb 18 - 27 Mar 18,22-Apr-18,13-May-18,
ENGINEERING,MZUEEE 2018,Mizoram University Engineering Entrance Examination 2018 ,Written Test,25 Feb 18 - 11 Jun 18,24-Jun-18,09-Jul-18,
ENGINEERING,Andhra University Engineering Entrance Test 2018,Andhra University Engineering Entrance Test ,Online Test,04 Mar 18 - 16 Apr 18,13-May-18,20-May-18,
ENGINEERING,MHT CET 2018,Maharashtra Health Sciences and Technical Common Entrance Test ,Written Test,06 Mar 18 - 30 Mar 18,13-May-18,08-Jun-18,https://exams.collegedunia.com/mht-cet/application-process
ENGINEERING,JEE Main 2018,Joint Entrance Exam (Main) ,Online Test  Written Test,07 Mar 18 - 01 Dec 17,08 Apr 18 - 08 Apr 18,,
ENGINEERING,TUEE 2018,Tezpur University Entrance Exam 2018 ,Written Test,12 Mar 18 - 05 May 18,22-Apr-18,11-Jun-18,
ENGINEERING,ASSAM PAT 2018,Assam Polytechnic Admission Test ,Written Test,12 Mar 18 - 04 May 18,15-May-18,06-Jun-18,
ENGINEERING,AP POLYCET 2018,Andhra Pradesh Polytechnic Common Entrance Test ,Written Test,12 Mar 18 - 13 Apr 18,25-Apr-18,,
ENGINEERING,TS EAMCET 2018,Telangana State Engineering  Agriculture & Medical Common Entrance Test ,Written Test,15 Mar 18 - 20 Apr 18,12 May 18 - 13 May 18,28-May-18,
ENGINEERING,CUCET 2018,Central Universities Common Entrance Test ,Written Test,17 Mar 18 - 20 Apr 18,20-May-18,19 May 17 - 13 Jun 18,https://exams.collegedunia.com/cucet/application-process
ENGINEERING,BVP CET 2018,Bharati Vidyapeeth Common Entrance Test ,Written Test,18 Mar 18 - 21 May 18,25 Mar 18 - 09 Jun 18,09-Apr-18,https://exams.collegedunia.com/bvp-cet/application-process
ENGINEERING,CG PPT 2018,Chhattisgarh Pre-Polytechnic Test ,Online Test,20 Mar 18 - 17 Apr 18,09-May-18,05-Jun-18,
ENGINEERING,TS PGECET 2017,Telangana State Post Graduate Engineering Common Entrance Test ,Online Test,20 Mar 18 - 01 May 18,27-May-18,09-Jun-18,
ENGINEERING,CMRUAT 2018,CMR University Admission Test 2018 ,Online Test,23 Mar 18 - 27 May 18,07 Apr 18 - 17 Jun 18,,
ENGINEERING,DAVUET 2018,DAV University Entrance Test ,Written Test,23 Mar 18 - 15 Apr 18,22-Apr-18,12-May-18,
ENGINEERING,SRMJEEE 2018,SRM Joint Engineering Entrance Examination ,Online Test,25 Mar 18 - 01 Nov 17,06 Apr 18 - 30 Apr 18,03-May-18,https://exams.collegedunia.com/srmjeee/application-process
ENGINEERING,Tripura JEE 2018,Tripura Joint Entrance Examination ,Written Test,27 Mar 18 - 02 Jan 18,03 May 18 - 04 May 18,04-Jun-18,
ENGINEERING,AMUEEE 2018,Aligarh Muslim University Engineering Entrance Exam 2018 ,Online Test,28 Mar 18 - 05 Jan 18,08-Apr-18,03-May-18,
ENGINEERING,JCECE 2018,Jharkhand Combined Entrance Competitive Examination ,Written Test,03 Apr 18 - 30 Apr 18,14-May-18,29-May-18,https://exams.collegedunia.com/jcece/application-process
ENGINEERING,APIIT NAT 2018,APIIT National Aptitude Test ,Online Test,15 Apr 18 - 15 May 18,24-Jun-18,,
ENGINEERING,TNEA 2017,Tamil Nadu Engineering Admissions ,Written Test,15 Apr 18 - 28 May 18,22-Jun-18,,
ENGINEERING,OJEE 2017,Odisha Joint Entrance Examination ,Online Test,16 Apr 18 - 03 Feb 18,13-May-18,07-Jun-18,https://exams.collegedunia.com/ojee/application-process
ENGINEERING,GCET 2018,Goa Common Entrance Test ,Written Test,19 Apr 18 - 10 Mar 18,13-May-18,30-May-18,
ENGINEERING,SPSAT 2018,Sri Padampat Singhania Admission Test ,Online Test,20 Apr 18 - 10 Jun 18,,,
ENGINEERING,AMIETE 2018,Associate Member of Institution Electronics and Telecommunication Engineers 2018 ,Written Test,25 Apr 18 - 25 Oct 18,15 Jun 18 - 15 Dec 18,25-Sep-18,
ENGINEERING,HITSEEE 2018,Hindustan Institute of Technology and Science Engineering Entrance Examination ,Online Test,25 Apr 18 - 10 Dec 17,29 Apr 18 - 03 May 18,10-May-18,
ENGINEERING,SET 2017,Symbiosis Entrance Test ,Online Test,27 Apr 18 - 05 Feb 18,06-May-18,20-May-18,
ENGINEERING,NIPER JEE 2018,National Institute of Pharmaceutical Education and Research Joint Entrance Exam ,Online Test,27 Apr 18 - 10 May 18,10-Jun-18,,
ENGINEERING,JEE Advanced 2018,Joint Entrance Examination (Advanced) ,Written Test,28 Apr 18 - 02 May 18,20-May-18,11 Jun 18 - 04 Jun 18,https://exams.collegedunia.com/jee-advanced/application-process
ENGINEERING,HPCET 2018,Himachal Pradesh Common Entrance Test ,Written Test,07 May 18 - 03 Mar 18,13-May-18,27-May-18,https://exams.collegedunia.com/hpcet/application-process
ENGINEERING,REAP 2018,Rajasthan Engineering Admission Process ,Online Test,07 May 18 - 04 Jun 18,,,
ENGINEERING,MH CET 2018,Maharashtra Common Entrance Test ,Online Test,10 May 18 - 23 May 18,18-Jun-18,,
ENGINEERING,Assam CEE 2018,Assam Common Entrance Examination ,Written Test,18 May 18 - 16 Mar 18,09-Jun-18,23-Jun-18,
ENGINEERING,AP PGECET 2017,Andhra Pradesh Post Graduate Engineering Common Entrance Test ,Online Test,20 May 18 - 03 Mar 18,27-May-18,15-Jun-18,https://exams.collegedunia.com/ap-pgecet/application-process
ENGINEERING,VITMEE 2018,VIT Masters Entrance Examination ,Online Test,27 May 18 - 10 Mar 18,03-Jun-18,16-Jun-18,
ENGINEERING,WBUT PGET 2018,West Bengal University of Technology Post Graduate Entrance Test ,Written Test,15 Jun 18 - 29 Jun 18,20-Jul-18,,
ENGINEERING,ITSAT 2018,ICFAI Tech School Admission Test ,Online Test  Written Test,09 Aug 18 - 02 Mar 18,25-May-18,,
ENGINEERING,Jain Entrance Test 2018,Jain Entrance Test ,Test,20-Jan-18,,,
ENGINEERING,BEEE 2018,Bharath Engineering Entrance Examination ,Online Test  Written Test,28-Jan-18,10-Feb-18,,
ENGINEERING,TS POLYCET 2018,Telangana State Polytechnic Common Entrance Test ,Written Test,21-Apr-18,04-May-18,,
ENGINEERING,JUEE 2018,Jagannath University Entrance Exam ,Online Test  Written Test,23 Apr 18 - 17 Jun 18,,,
ENGINEERING,DSAT 2018,Dayanand Sagar Admission Test 2018 ,Written Test,30-Apr-18,15-May-18,,
ENGINEERING,VEE 2018,Vels Entrance Examination 2018 ,Written Test,03-May-18,,,
ENGINEERING,AUCET 2018,Andhra University Common Entrance Test ,Written Test,08-May-18,18-May-18,,
ENGINEERING,JNUEE 2018,Jawaharlal Nehru University Entrance Examination ,Written Test,14-May-18,18-Jun-18,,
ENGINEERING,HP PAT 2018,Himachal Pradesh Polytechnic Admission Test ,Online Test  Written Test,19-May-18,08-Jun-18,,
ENGINEERING,SRMS EET 2018,Shri Ram Murti Smarak Engineering Entrance Exam ,Online Test  Written Test,19-May-18,24-May-18,,
ENGINEERING,PESSAT 2018,PES Scholastic Aptitude Test ,Online Test  Written Test,26-May-18,29-May-18,,
ENGINEERING,BIHAR ITICAT 2018,Bihar Industrial Training Institute Competitive Admission Test ,Written Test,28-May-18,10-Jun-18,,
ENGINEERING,CEE AMPAI 2018,Common Entrance Examination of Association of Minority Professional Academic Institution ,Written Test,30-Jul-18,07-Aug-18,,
ENGINEERING,Chattisgarh Pre Engineering Test 2018,CGPET ,Online Test,12-May-17,,,
ENGINEERING,DPU AIBTCET 2017,DY PATIL VIDYAPEETH ALL INDIA BIOTECHNOLOGY COMMON ENTRANCE TEST ,Written Test,,,,
ENGINEERING,KIITEE 2017,Kalinga Institute of Industrial Technology Entrance Exam ,Online Test,,,,
ENGINEERING,AUEET 2017,Alliance University Engineering Entrance Exam ,Online Test,,,,
ENGINEERING,AP ECET 2018,Andhra Pradesh Engineering Common Entrance Test ,Online Test,,,,
ENGINEERING,GVSAT 2018,Suresh Gyan Vihar University Entrance Exam ,Online Test,01-Jun-18,,,
ENGINEERING,JEECE 2018,Jharkhand Engneering Entrance Cometitive Examination ,Written Test,,,,
ENGINEERING,KLUEEE 2018,KLU Engineering Entrance Exam ,Online Test  Written Test,,,,
ENGINEERING,SUAT 2017,Sharda University Admission Test ,Online Test,,,,
ENGINEERING,GRE 2016,Graduate Record Examination ,Online Test,,,,
ENGINEERING,SLIET SET 2018,Sant Longowal Institute of Engineering and Technology Entrance Exam ,Online Test  Written Test,,,,
ENGINEERING,CENTAC 2018,Central Admission Committee ,Test,,,,
ENGINEERING,Allahabad University PGAT 2018,Allahabad University Post Graduate Admission Test ,Online Test,,,,
ENGINEERING,RTU CAM 2018,Rajasthan Technical University Centralized Admission for M.Tech/M.Arch. ,Online Test,,,,
ENGINEERING,Rajasthan LEEP 2017,Rajasthan Lateral Entry in Engineering Program ,Test,,,,
ENGINEERING,ICAR AIEEA 2017,Indian Council of Agricultural Research All India Entrance Examination for Admission ,Written Test,,,,
ENGINEERING,LPUNEST 2018,LPUNEST ,Online Test,07 Oct 16 - 01 Mar 17,10 Apr 17 - 30 Apr 17,07-May-17,
ENGINEERING,CUSAT CAT Engineering 2017,Cochin University of Science and Technology Common Admission Test ,Online Test,20 Jan 17 - 15 Feb 17,30-Apr-17,25-May-17,
ENGINEERING,GAT PGT 2017,GITAM Admission Test ,Online Test,28 Nov 17 - 25 Mar 18,15-Apr-18,05-May-18,https://exams.collegedunia.com/gat-pgt/application-process
ENGINEERING,VITEEE 2018,Vellore Institute of Technology Engineering Entrance Examination ,Online Test,09 Nov 17 - 25 Feb 18,07 Apr 18 - 15 Apr 18,24-Apr-18,
ENGINEERING,AEEE 2018,Amrita Engineering Entrance Examination ,Online Test  Written Test,30 Oct 17 - 31 Mar 18,05-May-18,,
ENGINEERING,VSAT 2018,Vignan Scholastic Aptitude Test ,Online Test,28 Nov 17 - 08 Apr 18,27-Apr-18,06-May-18,
ENGINEERING,MCAER PG CET 2018,Maharashtra Council of Agriculture Education and Research Common Entrance Test 2018 ,Written Test,04 Dec 17 - 28 Dec 17,25-Mar-18,09-Apr-18,
ENGINEERING,MAT 2017,Management Aptitude Test ,Online Test  Written Test,20 Dec 17 - 26 Jan 18,04-Feb-18,22-Feb-18,https://exams.collegedunia.com/mat/application-process
ENGINEERING,WBJEE 2018,West Bengal Joint Entrance Examination ,Online Test,19 Dec 17 - 10 Apr 18,22-Apr-18,05-Jun-18,https://exams.collegedunia.com/wbjee/admit-card
ENGINEERING,VTUEEE 2018,Veltech Technical University Engineering Entrance Exam ,Online Test  Written Test,02 Oct 17 - 15 Jan 18,28-Jan-18,,
ENGINEERING,GATE 2018,Graduate Aptitude Test in Engineering ,Online Test,01 Sep 17 - 05 Oct 17,03-Feb-18,17-Mar-18,https://exams.collegedunia.com/gate/application-process
ENGINEERING,IIITH PGEE 2017,International Institute of Information Technology  Hyderabad Post Graduate Entrance Examination ,Written Test,22 Apr 17 - 02 Feb 17,30-Apr-17,19-May-17,https://exams.collegedunia.com/iiith-pgee/admit-card
ENGINEERING,ATIT 2017,Admission Test for ICFAI Science and Technology ,Online Test  Written Test,15 Mar 17 - 20 Apr 17,30-May-17,,
ENGINEERING,RPET 2017,Rajasthan Pre Engineering Test ,Written Test,15 Mar 17 - 20 Apr 17,20-May-17,30-May-17,
ENGINEERING,LEET 2018,Haryana Lateral Entry Entrance Test ,Online Test,26 Apr 17 - 24 May 17,30 May 17 - 02 Jun 17,07-Jun-17,https://exams.collegedunia.com/leet/application-process
ENGINEERING,Karnataka PGCET 2017,Karnataka Post Graduate Common Entrance Test ,Online Test,24 Jun 17 - 02 Feb 17,08-Jul-17,22 Jul 17 - 09 Jul 17,https://exams.collegedunia.com/karnataka-pgcet/application-process
ENGINEERING,MP PPT 2018,Madhya Pradesh Pre-Polytechnic Test ,Written Test,28 Aug 17 - 23 Apr 18,10-Jun-18,02-Jul-18,
ENGINEERING,CAT 2017,Common Admission Test ,Online Test,09 Aug 17 - 20 Sep 17,26-Nov-17,08-Jan-18,https://exams.collegedunia.com/cat/application-process
ENGINEERING,UPCATET 2018,Uttar Pradesh Combined Agriculture and Technology Entrance Test ,Online Test,,,,
ENGINEERING,JNU CEEB 2018,Jawaharlal Nehru University Combined Entrance Examination for Biotechnology ,Test,,,,
ENGINEERING,IMU CET 2017,Indian Maritime University Common Entrance Test ,Online Test,,,,
ENGINEERING,OUAT 2018,Orissa University of Agriculture and Technology ,Written Test,,,,
ENGINEERING,JUET 2018,Jammu University Entrance Test ,Written Test,,,,
ENGINEERING,Rajasthan Polytechnic Exam 2018,Rajasthan Polytechnic Exam ,Online Test  Written Test,,,,
ENGINEERING,BITS HD 2018,BITS HD Admission Test ,Written Test,,,,
ENGINEERING,PULEET 2018,Panjab University Lateral Engineering Entrance Test ,Online Test,,,,
ENGINEERING,PUCAT 2018,Purvanchal University Combined Admission Test ,Written Test,,,,
ENGINEERING,SAAT 2018,Siksha ‘O’ Anusandhan University Admission Test ,Online Test,,,,
ENGINEERING,ITM NEST 2018,ITM National Entrance and Scholarship Test 2018 ,Online Test  Written Test,,,,
ENGINEERING,Rajasthan JET 2018,Rajasthan JET ,Online Test,,,,
ENGINEERING,REVA EET 2018,REVA University’s Engineering Entrance Test ,Online Test  Written Test,,,,
ENGINEERING,BPTPIA CET 2018,Bihar Private Technical & Professional Institutions Association Competitive Entrance Test ,Written Test,,,,
ENGINEERING,AISEEE 2018,All India Sankara Engineering Entrance Exam ,Online Test  Written Test,,,,
ENGINEERING,JEXPO 2018,Joint Entrance Examination for Polytechnics ,Written Test,,,,
ENGINEERING,AUAT 2018,Aliah University Admission Test ,Written Test,,,,
ENGINEERING,SKUCET 2018,SRI KRISHNADEVARAYA UNIVERSITY COMMON ENTRANCE TEST ,Written Test,,,,
ENGINEERING,AUEE 2018,AISECT University Entrance Exam ,Online Test  Written Test,,,,
ENGINEERING,JEECUP 2018,UP JEE Polytechnic ,Written Test,,,,
ENGINEERING,RUET 2018,Rama University Entrance Test ,Written Test,,,,
ENGINEERING,GITAM GAT UGTP 2018,GITAM GAT UGTP ,Online Test,,,,
ENGINEERING,IEMJEE 2018,Institute of Engineering & Management Joint Entrance Exam ,Online Test,,,,
ENGINEERING,Jharkhand Polytechnic 2018,Jharkhand Polytechnic ,Written Test,,,,
ENGINEERING,GLAET 2018,GLA University Entrance Test ,Online Test,,,,
ENGINEERING,IUET 2018,Integral University Entrance Test ,Written Test,,,,
ENGINEERING,GUJCET 2018,Gujarat Common Entrance Test ,Written Test,29-May-17,29-May-18,,
MANAGEMENT,ATMA 2018,AIMS Test for Management Admissions ,Online Test,09 Jan 18 - 08 Mar 18,11-Mar-18,29-Mar-18,https://exams.collegedunia.com/atma/admit-card
MANAGEMENT,SRMCAT 2018,SRM Common Admission Test ,Online Test,12 Jan 18 - 05 Apr 18,21 Apr 18 - 22 Apr 18,09-May-18,
MANAGEMENT,MAHCET 2018,Maharashtra MBA CET(MAH-MBA/MMS CET) ,Online Test,18 Jan 18 - 12 Feb 18,19 May 18 - 04 Mar 18,12-Mar-18,https://exams.collegedunia.com/news/e-20-mah-cet-2018-application-form
MANAGEMENT,UPSEE MBA 2018,Uttar Pradesh State Entrance Examination MBA ,Written Test,18 Jan 18 - 11 Apr 18,23-Apr-18,30-May-18,
MANAGEMENT,IPU CET 2018,Guru Gobind Singh Indraprastha University Common Entrance Test ,Written Test,22 Jan 18 - 02 Apr 18,21 Apr 18 - 26 May 18,03-May-18,https://exams.collegedunia.com/ipucet/application-process
MANAGEMENT,TANCET 2018,Tamil Nadu Common Entrance Test ,Written Test,28 Jan 18 - 15 Mar 18,25-Mar-18,07-Apr-18,https://exams.collegedunia.com/tancet/admit-card
MANAGEMENT,NPAT 2018,National Test for Programs After Twelfth ,Online Test,05 Feb 18 - 02 May 18,13-May-18,10-Jun-18,
MANAGEMENT,UPSEE 2018,Uttar Pradesh State Entrance Exam ,Online Test  Written Test,21 Feb 18 - 10 Apr 18,22-Apr-18,12-May-18,
MANAGEMENT,YVUCET 2018,Yogi Vemana University Common Entrance Test ,Written Test,01 Mar 18 - 19 May 18,04-Jun-18,11-Jun-18,
MANAGEMENT,CUCET 2018,Central Universities Common Entrance Test ,Written Test,17 Mar 18 - 20 Apr 18,20-May-18,19 May 17 - 13 Jun 18,https://exams.collegedunia.com/cucet/application-process
MANAGEMENT,BVP CET 2018,Bharati Vidyapeeth Common Entrance Test ,Written Test,18 Mar 18 - 21 May 18,25 Mar 18 - 09 Jun 18,09-Apr-18,https://exams.collegedunia.com/bvp-cet/application-process
MANAGEMENT,CMRUAT 2018,CMR University Admission Test 2018 ,Online Test,23 Mar 18 - 27 May 18,07 Apr 18 - 17 Jun 18,,
MANAGEMENT,XIC OET 2018,Xavier Institute of Communication Online Entrance Test ,Online Test,26 Mar 18 - 24 Apr 18,21-Apr-18,17-Jun-18,
MANAGEMENT,KMAT 2018,Karnataka Management Aptitude Test ,Written Test,02 Apr 18 - 20 Apr 18,26-May-18,12-Jun-18,
MANAGEMENT,APIIT NAT 2018,APIIT National Aptitude Test ,Online Test,15 Apr 18 - 15 May 18,24-Jun-18,,
MANAGEMENT,OJEE 2017,Odisha Joint Entrance Examination ,Online Test,16 Apr 18 - 03 Feb 18,13-May-18,07-Jun-18,https://exams.collegedunia.com/ojee/application-process
MANAGEMENT,SPSAT 2018,Sri Padampat Singhania Admission Test ,Online Test,20 Apr 18 - 10 Jun 18,,,
MANAGEMENT,SET 2017,Symbiosis Entrance Test ,Online Test,27 Apr 18 - 05 Feb 18,06-May-18,20-May-18,
MANAGEMENT,NIPER JEE 2018,National Institute of Pharmaceutical Education and Research Joint Entrance Exam ,Online Test,27 Apr 18 - 10 May 18,10-Jun-18,,
MANAGEMENT,APICET 2018,Andhra Pradesh Integrated Common Entrance Test ,Written Test,28 Apr 18 - 01 Mar 18,02-May-18,10-May-18,
MANAGEMENT,TSICET 2018,Telangana State Integrated Common Entrance Test ,Written Test,30 Apr 18 - 09 Mar 18,06-May-18,25 May 18 - 16 May 18,https://exams.collegedunia.com/tsicet/admit-card
MANAGEMENT,BUMAT 2018,BHARATI VIDYAPEETH UNDERGRADUATE MANAGEMENT APTITUDE TEST ,Written Test,24 May 18 - 22 Feb 18,03-Jun-18,14-Jun-18,https://exams.collegedunia.com/bumat/admit-card
MANAGEMENT,HPU MAT 2017,Himachal Pradesh University Management Aptitude Test ,Written Test,30 May 18 - 15 Apr 18,03-Jun-18,17-Jun-18,https://exams.collegedunia.com/hpu-mat/application-process
MANAGEMENT,DU JAT 2018,Delhi University Joint Admission Test ,Written Test,10 Jun 18 - 02 May 18,24-Jun-18,09-Jul-18,https://exams.collegedunia.com/du-jat/application-process
MANAGEMENT,KU CAT 2017,Kerala University Common Entrance Test ,Written Test,25 Jun 18 - 15 May 18,08-Jul-18,24-Jul-18,
MANAGEMENT,EMAT 2018,Executive Management Aptitude Test ,Written Test,30 Jun 18 - 01 Jul 18,15-Sep-18,,
MANAGEMENT,HBSAT 2018,Hyderabad Business School Admission Test ,Online Test,10-Jan-18,18-Mar-18,,
MANAGEMENT,Jain Entrance Test 2018,Jain Entrance Test ,Test,20-Jan-18,,,
MANAGEMENT,JKLU MET 2018,JK Lakshimpat University Management Entrance Test ,Written Test,02-Apr-18,04-Jun-18,,
MANAGEMENT,JUEE 2018,Jagannath University Entrance Exam ,Online Test  Written Test,23 Apr 18 - 17 Jun 18,,,
MANAGEMENT,DSAT 2018,Dayanand Sagar Admission Test 2018 ,Written Test,30-Apr-18,15-May-18,,
MANAGEMENT,VEE 2018,Vels Entrance Examination 2018 ,Written Test,03-May-18,,,
MANAGEMENT,AUCET 2018,Andhra University Common Entrance Test ,Written Test,08-May-18,18-May-18,,
MANAGEMENT,AIMA UGAT 2018,All India Management Association Under Graduate Aptitude Test ,Test,12-May-18,04-Jun-18,,
MANAGEMENT,PESSAT 2018,PES Scholastic Aptitude Test ,Online Test  Written Test,26-May-18,29-May-18,,
MANAGEMENT,CEE AMPAI 2018,Common Entrance Examination of Association of Minority Professional Academic Institution ,Written Test,30-Jul-18,07-Aug-18,,
MANAGEMENT,NMAT 2017,NMAT by GMAC ,Online Test,04 Oct 17 - 04 Jul 17,08 Oct 17 - 20 Dec 17,17-Jan-18,https://exams.collegedunia.com/nmat/application-process
MANAGEMENT,MICAT 2018,MICA Admission Test ,Online Test,26 Sep 17 - 30 Nov 17,17 Feb 18 - 17 Dec 17,03-Jan-18,https://exams.collegedunia.com/micat/application-process
MANAGEMENT,IIFT 2018,Indian Institute of Foreign Trade ,Written Test,15 Sep 17 - 15 Jul 17,03-Dec-17,23-Dec-17,https://exams.collegedunia.com/iift/application-process
MANAGEMENT,GRE 2016,Graduate Record Examination ,Online Test,,,,
MANAGEMENT,PUCAT 2018,Purvanchal University Combined Admission Test ,Written Test,,,,
MANAGEMENT,CMAT 2018,Common Management Admission Test ,Online Test,10 Oct 17 - 10 Jan 18,21-Jan-18,05-Feb-18,https://exams.collegedunia.com/cmat/admit-card
MANAGEMENT,SUAT 2017,Sharda University Admission Test ,Online Test,,,,
MANAGEMENT,TOEFL 2017,Test of English as a Foreign Language ,Online Test  Written Test,20 Aug 17 - 15 Sep 17,14-Oct-17,,
MANAGEMENT,AUEE 2018,AISECT University Entrance Exam ,Online Test  Written Test,,,,
MANAGEMENT,CAT 2017,Common Admission Test ,Online Test,09 Aug 17 - 20 Sep 17,26-Nov-17,08-Jan-18,https://exams.collegedunia.com/cat/application-process
MANAGEMENT,SNAP 2017,Symbiosis National Aptitude Test ,Online Test,10 Aug 17 - 24 Nov 17,17-Dec-17,28-Dec-17,https://exams.collegedunia.com/snap/application-process
MANAGEMENT,Karnataka PGCET 2017,Karnataka Post Graduate Common Entrance Test ,Online Test,24 Jun 17 - 02 Feb 17,08-Jul-17,22 Jul 17 - 09 Jul 17,https://exams.collegedunia.com/karnataka-pgcet/application-process
MANAGEMENT,LPUNEST 2018,LPUNEST ,Online Test,07 Oct 16 - 01 Mar 17,10 Apr 17 - 30 Apr 17,07-May-17,
MANAGEMENT,ITM NEST 2018,ITM National Entrance and Scholarship Test 2018 ,Online Test  Written Test,,,,
MANAGEMENT,UPCATET 2018,Uttar Pradesh Combined Agriculture and Technology Entrance Test ,Online Test,,,,
MANAGEMENT,KIITEE 2017,Kalinga Institute of Industrial Technology Entrance Exam ,Online Test,,,,
MANAGEMENT,RMAT 2018,Rajasthan Management Aptitude Test ,Online Test,,,,
MANAGEMENT,JUET 2018,Jammu University Entrance Test ,Written Test,,,,
MANAGEMENT,IELTS 2016,International English Language Testing System ,Online Test,,,,
MANAGEMENT,IMU CET 2017,Indian Maritime University Common Entrance Test ,Online Test,,,,
MANAGEMENT,IUET 2018,Integral University Entrance Test ,Written Test,,,,
MANAGEMENT,SLIET SET 2018,Sant Longowal Institute of Engineering and Technology Entrance Exam ,Online Test  Written Test,,,,
MANAGEMENT,MAT 2017,Management Aptitude Test ,Online Test  Written Test,20 Dec 17 - 26 Jan 18,04-Feb-18,22-Feb-18,https://exams.collegedunia.com/mat/application-process
MANAGEMENT,IBSAT 2017,ICFAI Business School Aptitude Test ,Online Test,15 Dec 17 - 01 Jul 17,21 Dec 17 - 24 Dec 17,02-Jan-18,
MANAGEMENT,Dibrugarh University Entrance Exam 2017,Dibrugarh University Entrance Exam ,Written Test,,,,
MANAGEMENT,MCAER PG CET 2018,Maharashtra Council of Agriculture Education and Research Common Entrance Test 2018 ,Written Test,04 Dec 17 - 28 Dec 17,25-Mar-18,09-Apr-18,
MANAGEMENT,IEMJEE 2018,Institute of Engineering & Management Joint Entrance Exam ,Online Test,,,,
MANAGEMENT,GLAET 2018,GLA University Entrance Test ,Online Test,,,,
MANAGEMENT,MUCMET 2018,Mumbai University Common Management Entrance Test ,Written Test,,,,
MANAGEMENT,IRMA 2018,Institute of Rural Management Anand ,Online Test,12 Oct 17 - 31 Dec 17,04-Feb-18,15-Mar-18,
MANAGEMENT,GMAT 2017,Graduate Management Admission Test ,Online Test,,,,
MANAGEMENT,kmat kerala 2018,Kerala Management Aptitude Test ,Written Test,15 Nov 17 - 03 Jan 18,04-Feb-18,01-Mar-18,
MANAGEMENT,XAT 2018,Xavier Aptitude Test ,Online Test,16 Aug 17 - 30 Nov 17,07-Jan-18,28-Jan-18,https://exams.collegedunia.com/xat/application-process
MANAGEMENT,JEMAT 2017,Joint Entrance Management Aptitude Test ,Online Test,16-Jul-17,21-Jul-17,,
