College                         			 					,Rating               			,Location									,Affiliate 					,Average Fee 								,Exam Accepted								,Review									
"Amity University, Noida","7.3/10","Noida, Uttar Pradesh","NAAC, UGC","₹2.96 L / yr LLB - avg fee","4 / 5 147 reviews",""
"Banaras Hindu University - [BHU], Varanasi","7.3/10","Varanasi, Uttar Pradesh","NAAC, UGC, AIU","₹1.39 K / yr LLB - avg fee","BLAT Exam Accepted","4.1 / 5 55 reviews"
"Madhav University - [MU], Sirohi","7.2/10","Sirohi, Rajasthan","NCTE, PCI, AICTE, BCI, UGC","₹49.9 K / yr LLB - avg fee","CLAT Exam Accepted",""
"OPJS University, Churu","7.2/10","Churu, Rajasthan","NCTE, COA, AICTE, BCI, UGC","₹31.2 K / yr LLB - avg fee","3.6 / 5 10 reviews",""
"Kristu Jayanti College - [KJC], Bangalore","7.1/10","Bangalore, Karnataka","BCI, AICTE, NAAC","-- LLB","4.2 / 5 14 reviews",""
"Chaudhary Charan Singh University - [CCS], Meerut","7.1/10","Meerut, Uttar Pradesh","UGC, NAAC-B","₹32.9 K / yr LLB - avg fee","2.3 / 5 8 reviews",""
"Aligarh Muslim University - [AMU], Aligarh","7.1/10","Aligarh, Uttar Pradesh","NAAC, UGC","₹12 K / yr LLB - avg fee","AMU BA L... Exam Accepted","4.1 / 5 41 reviews"
"Ansal University- [AU], Gurgaon","7.0/10","Gurgaon, Haryana","UGC","₹1.87 L / yr LLB - avg fee","CLAT Exam Accepted","4 / 5 19 reviews"
"Rayat Bahra University, Mohali","7.0/10","Mohali, Punjab","NCTE, AICTE, UGC","₹50 K / yr LLB - avg fee","3.7 / 5 10 reviews",""
"Bundelkhand University, Jhansi","6.9/10","Jhansi, Uttar Pradesh","AICTE, NAAC, UGC","₹16 K / yr LLB - avg fee","4 / 5 12 reviews",""
"Dr. D.Y. Patil Vidya Pratishthan Society's, Pune","6.9/10","Pune, Maharashtra","NCTE, AICTE, NAAC, NBA","-- LLB","MH CET L... Exam Accepted","3.4 / 5 2 reviews"
"Siksha 'O' Anusandhan University - [SOA], Bhubaneswar","6.9/10","Bhubaneswar, Orissa","UGC, NAAC-A","₹98 K / yr LLB - avg fee","4.2 / 5 13 reviews",""
"Dr. C.V. Raman University - [CVRU], Bilaspur","6.9/10","Bilaspur, Chhattisgarh","NCTE, BCI, AICTE, UGC, DEB","₹36 K / yr LLB - avg fee","3.5 / 5 15 reviews",""
"Desh Bhagat University - [DBU], Gobindgarh","6.8/10","Gobindgarh, Punjab","UGC","₹58.3 K / yr LLB - avg fee","3.3 / 5 11 reviews",""
"Jiwaji University, Gwalior","6.8/10","Gwalior, Madhya Pradesh","UGC","₹27.7 K / yr LLB - avg fee","3.2 / 5 12 reviews",""
"Bahra University - [BU], Shimla","6.8/10","Shimla, Himachal Pradesh","PCI, BCI, UGC","₹59.5 K / yr LLB - avg fee","3.9 / 5 15 reviews",""
"University of Mysore - [UOM], Mysore","6.8/10","Mysore, Karnataka","UGC, NAAC-A, AIU","₹25.4 K / yr LLB - avg fee","CLAT Exam Accepted","3.3 / 5 5 reviews"
"ITM University, Gwalior","6.8/10","Gwalior, Madhya Pradesh","AICTE, NAAC, UGC","₹75 K / yr LLB - avg fee","CLAT Exam Accepted","3.8 / 5 50 reviews"
"Invertis University, Bareilly","6.7/10","Bareilly, Uttar Pradesh","NCTE, BCI, AICTE, UGC, NBA","₹50 K / yr LLB - avg fee","4 / 5 16 reviews",""
"AISECT University, Bhopal","6.7/10","Bhopal, Madhya Pradesh","NCTE, AICTE","-- LLB","",""
"Kumaun University, Nainital","6.7/10","Nainital, Uttarakhand","NAAC-A","₹17.8 K / yr LLB - avg fee","3.1 / 5 7 reviews",""
"Kolhan University, Chaibasa","6.7/10","Chaibasa, Jharkhand","UGC","-- LLB","",""
"Mangalayatan University - [MU], Aligarh","6.7/10","Aligarh, Uttar Pradesh","NCTE, COA, PCI, BCI, UGC","₹46.7 K / yr LLB - avg fee","4 / 5 17 reviews",""
"BS Anangpuria Institute of Education, Faridabad","6.7/10","Faridabad, Haryana","NCTE, AICTE","-- LLB","3 / 5 2 reviews",""
"Hemwati Nandan Bahuguna Garhwal University, Garhwal","6.7/10","Garhwal, Uttarakhand","PCI, AICTE, UGC, NAAC-A","₹5.38 K / yr LLB - avg fee","3.6 / 5 17 reviews",""
"Pacific University, Udaipur","6.7/10","Udaipur, Rajasthan","UGC, AIU","₹36.2 K / yr LLB - avg fee","3.7 / 5 12 reviews",""
"Fairfield Institute of Management and Technology - [FIMT], New Delhi","6.6/10","New Delhi, Delhi NCR","NAAC","₹55.5 K / yr LLB - avg fee","4.2 / 5 5 reviews",""
"INMANTEC Institutions, Ghaziabad","6.6/10","Ghaziabad, Uttar Pradesh","AICTE","₹40 K / yr LLB - avg fee","4.5 / 5 24 reviews",""
"Rajiv Gandhi College, Bhopal","6.6/10","Bhopal, Madhya Pradesh","NCTE, CCIM, BCI, AICTE, UGC","₹12 K / yr LLB - avg fee","CLAT Exam Accepted","3.4 / 5 7 reviews"
"Kurukshetra University - [KUK], Kurukshetra","6.6/10","Kurukshetra, Haryana","NCTE, BCI, NCHMCT, AICTE, NAAC","₹49.5 K / yr LLB - avg fee","3.7 / 5 20 reviews",""
"Jai Narain Vyas University - [JNVU], Jodhpur","6.6/10","Jodhpur, Rajasthan","UGC, NAAC-B","₹36.4 K / yr LLB - avg fee","2.9 / 5 24 reviews",""
"Shobhit University, Meerut","6.6/10","Meerut, Uttar Pradesh","UGC, NAAC-B","₹77 K / yr LLB - avg fee","3.4 / 5 16 reviews",""
"Himgiri Zee University - [HZU], Dehradun","6.6/10","Dehradun, Uttarakhand","NCTE, UGC","₹56 K / yr LLB - avg fee","",""
"KR Mangalam University, Gurgaon","6.6/10","Gurgaon, Haryana","NCTE, COA, PCI, BCI, UGC","₹1.47 L / yr LLB - avg fee","3.7 / 5 10 reviews",""
"Teerthanker Mahaveer University - [TMU], Moradabad","6.6/10","Moradabad, Uttar Pradesh","UGC","₹48.4 K / yr LLB - avg fee","4 / 5 10 reviews",""
"Eastern Institute for Integrated Learning in Management - [EIILM University], West Sikkim","6.6/10","West Sikkim, Sikkim","AICTE, UGC","-- LLB","3.9 / 5 3 reviews",""
"GITAM, Visakhapatnam","6.6/10","Visakhapatnam, Andhra Pradesh","UGC, NAAC-A","₹1.55 L / yr LLB - avg fee","4.1 / 5 98 reviews",""
"AJ Aviation Academy, Bangalore","6.6/10","Bangalore, Karnataka","UGC","₹8.95 K / yr LLB - avg fee","",""
"Institute of Management Education Group of Colleges - [IME], Ghaziabad","6.6/10","Ghaziabad, Uttar Pradesh","NAAC-B","₹50 K / yr LLB - avg fee","3.7 / 5 8 reviews",""
"Indus International University - [IIU], Una","6.6/10","Una, Himachal Pradesh","UGC","₹52 K / yr LLB - avg fee","",""
"Navrachana University - [NUV], Vadodara","6.6/10","Vadodara, Gujarat","UGC","₹96 K / yr LLB - avg fee","3.6 / 5 16 reviews",""
"Career Point University - [CPU], Kota","6.6/10","Kota, Rajasthan","AICTE, UGC","₹1.62 L / yr LLB - avg fee","4 / 5 11 reviews",""
"Shridhar University, Pilani","6.6/10","Pilani, Rajasthan","BCI, AICTE, UGC","₹27.6 K / yr LLB - avg fee","3.3 / 5 13 reviews",""
"Shoolini University, Solan","6.5/10","Solan, Himachal Pradesh","PCI, AICTE, NAAC, UGC","₹2.28 L / yr LLB - avg fee","3.6 / 5 25 reviews",""
"Andhra University - [AU], Visakhapatnam","6.5/10","Visakhapatnam, Andhra Pradesh","AICTE, UGC, NAAC-A","₹11 K / yr LLB - avg fee","3.7 / 5 33 reviews",""
"K L University - [KLU], Guntur","6.5/10","Guntur, Andhra Pradesh","AICTE, UGC, NAAC-A","₹1.03 L / yr LLB - avg fee","3.9 / 5 66 reviews",""
"Guru Nanak Dev University - [GNDU], Amritsar","6.5/10","Amritsar, Punjab","UGC, NAAC-A","₹32.5 K / yr LLB - avg fee","4 / 5 40 reviews",""
"Assam University, Silchar","6.5/10","Silchar, Assam","UGC","₹12.9 K / yr LLB - avg fee","3.2 / 5 1 reviews",""
"Tilka Manjhi Bhagalpur University - [TMBU], Bhagalpur","6.4/10","Bhagalpur, Bihar","AICTE, UGC, NAAC-B","-- LLB","",""
"Mewar University - [MU], Chittorgarh","6.4/10","Chittorgarh, Rajasthan","AICTE, UGC","₹55 K / yr LLB - avg fee","3.9 / 5 7 reviews",""
"DY Patil University, Navi Mumbai","6.4/10","Navi Mumbai, Maharashtra","NAAC-A","₹5.52 K / yr LLB - avg fee","3.4 / 5 14 reviews",""
"Shri Ramswaroop Memorial University - [SRMU], Lucknow","6.4/10","Lucknow, Uttar Pradesh","NCTE, BCI, UGC, AIU","₹78 K / yr LLB - avg fee","3.7 / 5 19 reviews",""
"Swami Vivekanand Subharti University - [SVSU], Meerut","6.4/10","Meerut, Uttar Pradesh","NCTE, DCI, PCI, INC, MCI","₹44.5 K / yr LLB - avg fee","3.5 / 5 9 reviews",""
"University of Rajasthan, Jaipur","6.3/10","Jaipur, Rajasthan","UGC","₹7.4 K / yr LLB - avg fee","RULET Exam Accepted","3.7 / 5 18 reviews"
"SunRise University - [SRU], Alwar","6.3/10","Alwar, Rajasthan","AICTE, UGC, NBA","₹34 K / yr LLB - avg fee","4.1 / 5 10 reviews",""
"North-Eastern Hill University - [NEHU], Shillong","6.3/10","Shillong, Meghalaya","NAAC, UGC","₹16.1 K / yr LLB - avg fee","4.4 / 5 1 reviews",""
"Ranchi University, Ranchi","6.2/10","Ranchi, Jharkhand","UGC, NAAC-B","-- LLB","2 / 5 2 reviews",""
"Barkatullah University - [BU], Bhopal","6.2/10","Bhopal, Madhya Pradesh","UGC, NAAC-B","₹20.6 K / yr LLB - avg fee","3.6 / 5 4 reviews",""
"Maharishi Markandeshwar University - [MMU] Mullana Campus, Ambala","6.2/10","Ambala, Haryana","AICTE, UGC, NAAC-A, AIU","₹52 K / yr LLB - avg fee","3.7 / 5 43 reviews",""
"Shivaji University - [SUK], Kolhapur","6.2/10","Kolhapur, Maharashtra","UGC, NAAC-A","₹2.58 K / yr LLB - avg fee","3.9 / 5 12 reviews",""
"Shree Guru Gobind Singh Tricentenary University - [SGT], Gurgaon","6.1/10","Gurgaon, Haryana","MCI, AICTE, BCI, UGC","₹1.2 L / yr LLB - avg fee","4 / 5 16 reviews",""
"Karnataka State Law University - [KSLU], Hubli","6.1/10","Hubli, Karnataka","BCI, UGC, NAAC-A","₹5.22 K / yr LLB - avg fee","",""
"Manav Rachna University - [MRU], Faridabad","6.1/10","Faridabad, Haryana","UGC, NAAC-A","₹1.83 L / yr LLB - avg fee","3.8 / 5 44 reviews",""
"Pt. Ravishankar Shukla University - [PRSU], Raipur","6.1/10","Raipur, Chhattisgarh","NCTE, AICTE, UGC, NAAC-A","₹12.9 K / yr LLB - avg fee","",""
"University of Allahabad, Allahabad","6.1/10","Allahabad, Uttar Pradesh","NCTE, UGC, NAAC-B","₹1.21 K / yr LLB - avg fee","Allahaba... Exam Accepted","3.5 / 5 20 reviews"
"Jaipur National University - [JNU], Jaipur","6.1/10","Jaipur, Rajasthan","AICTE, NAAC, UGC","₹1 L / yr LLB - avg fee","3.5 / 5 48 reviews",""
"Dibrugarh University, Dibrugarh","6.1/10","Dibrugarh, Assam","NAAC, UGC, AIU","₹29.2 K / yr LLB - avg fee","Dibrugar... Exam Accepted","3.9 / 5 3 reviews"
"University of Jammu, Jammu","6.0/10","Jammu, Jammu and Kashmir","UGC","₹1 L / yr LLB - avg fee","JUET Exam Accepted","2.9 / 5 1 reviews"
"Chaudhary Devi Lal University - [CDLU], Sirsa","6.0/10","Sirsa, Haryana","BCI, UGC","₹26.7 K / yr LLB - avg fee","2.9 / 5 4 reviews",""
"University of Kashmir, Srinagar","6.0/10","Srinagar, Jammu and Kashmir","UGC, NAAC-A","₹4.5 K / yr LLB - avg fee","2.8 / 5 4 reviews",""
"Amity University, Gurgaon","6.0/10","Gurgaon, Haryana","RCI, COA, INC, BCI, AICTE","₹2.09 L / yr LLB - avg fee","3.6 / 5 16 reviews",""
"Panjab University - [PU], Chandigarh","6.0/10","Chandigarh, Chandigarh","AICTE, NAAC","₹62.7 K / yr LLB - avg fee","PU LLB Exam Accepted","3.9 / 5 38 reviews"
"Rai University - [RU], Ahmedabad","6.0/10","Ahmedabad, Gujarat","BCI, UGC, AIU","₹40 K / yr LLB - avg fee","3.7 / 5 52 reviews",""
"RKDF University, Bhopal","6.0/10","Bhopal, Madhya Pradesh","NCTE, PCI, AICTE, UGC","₹25 K / yr LLB - avg fee","3.4 / 5 7 reviews",""
"Amity University, Jaipur","6.0/10","Jaipur, Rajasthan","AICTE, UGC","₹1.56 L / yr LLB - avg fee","3.7 / 5 26 reviews",""
"Alliance University, Bangalore","5.9/10","Bangalore, Karnataka","DCI","₹2 L / yr LLB - avg fee","ACLAT Exam Accepted","3.7 / 5 32 reviews"
"Gauhati University - [GU], Guwahati","5.9/10","Guwahati, Assam","AICTE, NAAC, UGC","₹28.2 K / yr LLB - avg fee","4.1 / 5 4 reviews",""
"Bharath University, Chennai","5.9/10","Chennai, Tamil Nadu","AICTE, UGC, NAAC-A","₹1.22 L / yr LLB - avg fee","3.2 / 5 20 reviews",""
"Techno India University, Kolkata","5.9/10","Kolkata, West Bengal","AICTE, NBA","-- LLB","3.8 / 5 34 reviews",""
"Guru Ghasidas Vishwavidyalaya - [GGU], Bilaspur","5.9/10","Bilaspur, Chhattisgarh","AICTE, UGC","₹4.94 K / yr LLB - avg fee","3 / 5 15 reviews",""
"Jain University - [JU], Bangalore","5.9/10","Bangalore, Karnataka","AICTE, UGC, NAAC-A, MHRD","₹3 L / yr LLB - avg fee","CLAT Exam Accepted","3.7 / 5 26 reviews"
"Kalinga Institute of Industrial Technology - [KIIT University], Bhubaneswar","5.9/10","Bhubaneswar, Orissa","DCI, INC, MCI, BCI, AICTE","₹3.09 L / yr LLB - avg fee","KIITEE Exam Accepted","4.3 / 5 152 reviews"
"Jodhpur National University - [JNU], Jodhpur","5.9/10","Jodhpur, Rajasthan","DCI, BCI, AICTE, UGC, AIU","₹72.2 K / yr LLB - avg fee","CLAT Exam Accepted","2.9 / 5 7 reviews"
"Galgotias University - [GU], Greater Noida","5.9/10","Greater Noida, Uttar Pradesh","AICTE, UGC","₹1.1 L / yr LLB - avg fee","LSAT Ind... Exam Accepted","3.4 / 5 94 reviews"
"Guru Nanak Dev University Regional Campus, Gurdaspur","5.9/10","Gurdaspur, Punjab","AICTE, UGC","₹52.1 K / yr LLB - avg fee","CLAT Exam Accepted","3.1 / 5 3 reviews"
"Deen Dayal Upadhyaya Gorakhpur University - [DDU], Gorakhpur","5.8/10","Gorakhpur, Uttar Pradesh","UGC, NAAC-B","-- LLB","3 / 5 7 reviews",""
"RIMT University, Gobindgarh","5.8/10","Gobindgarh, Punjab","AICTE, UGC","₹61 K / yr LLB - avg fee","3.5 / 5 17 reviews",""
"Prestige Institute of Management and Research - [PIMR], Indore","5.8/10","Indore, Madhya Pradesh","AICTE, NBA, NAAC-A","₹1.11 L / yr LLB - avg fee","3.9 / 5 16 reviews",""
"Government Kamla Raja Girls Post Graduate Autonomous College, Gwalior","5.8/10","Gwalior, Madhya Pradesh","NAAC","₹16 K / yr LLB - avg fee","1.9 / 5 1 reviews",""
"Himachal Pradesh University - [HPU], Shimla","5.7/10","Shimla, Himachal Pradesh","NAAC-A","₹75.9 K / yr LLB - avg fee","3 / 5 6 reviews",""
"Mahatma Gandhi University - [MGU], Kottayam","5.7/10","Kottayam, Kerala","NAAC, UGC","₹25 K / yr LLB - avg fee","MGU CAT Exam Accepted","3.4 / 5 1 reviews"
"Shreemati Nathibai Damodar Thackersey Women's University - [SNDT], Mumbai","5.7/10","Mumbai, Maharashtra","NAAC, UGC","-- LLB","3.8 / 5 7 reviews",""
"Chankya Mahavidyalaya, Bhopal","5.7/10","Bhopal, Madhya Pradesh","UGC","-- LLB","",""
"Kannur University, Kannur","5.7/10","Kannur, Kerala","NAAC-B","₹14 K / yr LLB - avg fee","2.9 / 5 1 reviews",""
"MATS University, Raipur","5.7/10","Raipur, Chhattisgarh","NCTE, BCI, AICTE, NAAC, UGC","₹48 K / yr LLB - avg fee","CLAT Exam Accepted","3.5 / 5 31 reviews"
"Karnavati University - [KU], Gandhi Nagar","5.6/10","Gandhi Nagar, Gujarat","BCI, AICTE, NAAC, UGC","-- LLB","",""
"Harish Chandra Post Graduate College, Varanasi","5.6/10","Varanasi, Uttar Pradesh","AICTE, NAAC, UGC","₹3.19 K / yr LLB - avg fee","CLAT Exam Accepted","2.9 / 5 3 reviews"
"Gondwana University - [GU], Gadchiroli","5.6/10","Gadchiroli, Maharashtra","NAAC, UGC, AIU","₹38.2 K / yr LLB - avg fee","",""
"Bhagwati College of Science, Meerut","5.6/10","Meerut, Uttar Pradesh","NCTE, BCI, NAAC, UGC","-- LLB","",""
"BR Ambedkar Bihar University - [BRABU], Muzaffarpur","5.6/10","Muzaffarpur, Bihar","NAAC, UGC, AIU","-- LLB","1.3 / 5 1 reviews",""
"Punjabi University - [PU], Patiala","5.5/10","Patiala, Punjab","UGC, NAAC-A","₹43 K / yr LLB - avg fee","3.8 / 5 15 reviews",""
"Uttaranchal University, Dehradun","5.5/10","Dehradun, Uttarakhand","BCI, AICTE, UGC","₹1.29 L / yr LLB - avg fee","4.2 / 5 7 reviews",""
"Career College, Bhopal","5.4/10","Bhopal, Madhya Pradesh","NAAC-A","₹30 K / yr LLB - avg fee","3.7 / 5 3 reviews",""
"Mohanlal Sukhadia University - [MLSU], Udaipur","5.4/10","Udaipur, Rajasthan","PCI, BCI, AICTE, UGC, NAAC-A","₹30 K / yr LLB - avg fee","3.7 / 5 13 reviews",""
"Chandigarh University - [CU], Chandigarh","5.4/10","Chandigarh, Chandigarh","AICTE, UGC, AIU","₹79 K / yr LLB - avg fee","4.1 / 5 60 reviews",""
"Saveetha University, Chennai","5.4/10","Chennai, Tamil Nadu","NAAC, UGC","₹1.55 L / yr LLB - avg fee","3.8 / 5 20 reviews",""
"Amity University, Lucknow","5.4/10","Lucknow, Uttar Pradesh","AICTE, UGC, NAAC-A","₹1.91 L / yr LLB - avg fee","4 / 5 38 reviews",""
"ICFAI Foundation for Higher Education - [IFHE], Hyderabad","5.4/10","Hyderabad, Telangana","UGC","₹1.74 L / yr LLB - avg fee","4.1 / 5 5 reviews",""
"Mahatma Gandhi University - [MGU], Ri-Bhoi","5.4/10","Ri-Bhoi, Meghalaya","BCI, UGC, DEB, AIU","-- LLB","",""
"IFTM University, Moradabad","5.4/10","Moradabad, Uttar Pradesh","NAAC, UGC","₹44 K / yr LLB - avg fee","3.6 / 5 4 reviews",""
"Dr. Hari Singh Gour University, Sagar","5.3/10","Sagar, Madhya Pradesh","NAAC-A","₹17.1 K / yr LLB - avg fee","3.2 / 5 14 reviews",""
"Uttarakhand Technical University, Dehradun","5.3/10","Dehradun, Uttarakhand","AICTE, UGC","₹18.3 K / yr LLB - avg fee","4 / 5 2 reviews",""
"Rashtrasant Tukadoji Maharaj Nagpur University - [RTMNU], Nagpur","5.3/10","Nagpur, Maharashtra","UGC, NAAC-A, AIU","₹35 K / yr LLB - avg fee","3.8 / 5 35 reviews",""
"Prestige Institute of Management - [PIMG], Gwalior","5.3/10","Gwalior, Madhya Pradesh","AICTE","₹80.8 K / yr LLB - avg fee","4.1 / 5 4 reviews",""
"Apeejay Stya University - [ASU], Gurgaon","5.2/10","Gurgaon, Haryana","UGC","₹1.64 L / yr LLB - avg fee","3.9 / 5 12 reviews",""
"Oriental University - [OU], Indore","5.2/10","Indore, Madhya Pradesh","PCI, BCI, AICTE, UGC","₹54.5 K / yr LLB - avg fee","3.7 / 5 18 reviews",""
"Lingaya's University, Faridabad","5.2/10","Faridabad, Haryana","NCTE, COA, PCI, BCI, AICTE","₹43.6 K / yr LLB - avg fee","3.4 / 5 28 reviews",""
"Mody University, Sikar","5.2/10","Sikar, Rajasthan","AICTE, BCI, NBA","₹1.4 L / yr LLB - avg fee","4.2 / 5 9 reviews",""
"Shobhit University, Gangoh","5.2/10","Gangoh, Uttar Pradesh","NAAC-A","₹35 K / yr LLB - avg fee","CLAT Exam Accepted",""
"Arunachal University of Studies - [AUS], Lohit","5.2/10","Lohit, Arunachal Pradesh","UGC","₹35 K / yr LLB - avg fee","",""
"Shia PG College, Lucknow","5.1/10","Lucknow, Uttar Pradesh","UGC","₹7.84 K / yr LLB - avg fee","CLAT Exam Accepted","3.1 / 5 4 reviews"
"University of Kerala - [KU], Thiruvananthapuram","5.1/10","Thiruvananthapuram, Kerala","UGC, NAAC-A","₹3.5 K / yr LLB - avg fee","3.2 / 5 5 reviews",""
"Indore Professional Studies Academy - [IPSA], Indore","5.1/10","Indore, Madhya Pradesh","AICTE","₹45 K / yr LLB - avg fee","CLAT Exam Accepted","3.8 / 5 21 reviews"
"Institute of Management Studies - [IMS], Noida","5.0/10","Noida, Uttar Pradesh","AICTE, UGC, NAAC-A","₹100 K / yr LLB - avg fee","3.5 / 5 19 reviews",""
"DAV PG College, Lucknow","4.9/10","Lucknow, Uttar Pradesh","BCI","₹4.61 K / yr LLB - avg fee","CLAT Exam Accepted","2.2 / 5 2 reviews"
"University of Burdwan, Bardhaman","4.9/10","Bardhaman, West Bengal","AICTE, UGC, NAAC-B, AIU","₹30 K / yr LLB - avg fee","2.5 / 5 4 reviews",""
"Bangalore University - [BU], Bangalore","4.9/10","Bangalore, Karnataka","UGC","₹13.5 K / yr LLB - avg fee","4.1 / 5 5 reviews",""
"Gautam Buddha University - [GBU], Greater Noida","4.8/10","Greater Noida, Uttar Pradesh","RCI, COA, BCI, NAAC, UGC","₹89 K / yr LLB - avg fee","3.6 / 5 26 reviews",""
"Tantia University, Sriganganagar","4.8/10","Sriganganagar, Rajasthan","INC, CCH, BCI, AICTE, UGC","₹38 K / yr LLB - avg fee","",""
"Dr. Shakuntala Misra National Rehabilitation University, Lucknow","4.8/10","Lucknow, Uttar Pradesh","AICTE, UGC","₹56.3 K / yr LLB - avg fee","",""
"Indore Christian College, Indore","4.7/10","Indore, Madhya Pradesh","BCI, NAAC","₹25.3 K / yr LLB - avg fee","CLAT Exam Accepted",""
"Mahatma Gandhi Kashi Vidyapith - [MGKV], Varanasi","4.7/10","Varanasi, Uttar Pradesh","NAAC, UGC","₹3.19 K / yr LLB - avg fee","3.7 / 5 5 reviews",""
"Tilak Maharashtra Vidyapeeth - [TMV], Pune","4.6/10","Pune, Maharashtra","AICTE","₹24.2 K / yr LLB - avg fee","3.1 / 5 2 reviews",""
"Saifia College of Arts and Commerce, Bhopal","4.6/10","Bhopal, Madhya Pradesh","","-- LLB","2.2 / 5 1 reviews",""
"Amity University, Gwalior","4.6/10","Gwalior, Madhya Pradesh","AICTE, UGC","₹1.25 L / yr LLB - avg fee","4 / 5 17 reviews",""
"Manipal University - [MUJ], Jaipur","4.6/10","Jaipur, Rajasthan","UGC","₹1.4 L / yr LLB - avg fee","4.1 / 5 50 reviews",""
"Kamla Nehru Institute of Physical and Social Sciences - [KNIPSS], Sultanpur","4.6/10","Sultanpur, Uttar Pradesh","NCTE, AICTE, NAAC","-- LLB","4 / 5 3 reviews",""
"Dr. K.N. Modi University - [DKNMU] Newai, Tonk","4.6/10","Tonk, Rajasthan","AICTE, UGC","₹52.3 K / yr LLB - avg fee","3.6 / 5 16 reviews",""
"JIMS Engineering Management Technical Campus- [JEMTEC], Greater Noida","4.6/10","Greater Noida, Uttar Pradesh","NCTE, AICTE, BCI","₹86 K / yr LLB - avg fee","IPU CET Exam Accepted","2 / 5 1 reviews"
"Marwadi University - [MU], Rajkot","4.6/10","Rajkot, Gujarat","AICTE","₹1 L / yr LLB - avg fee","4.1 / 5 32 reviews",""
"Parul University, Vadodara","4.6/10","Vadodara, Gujarat","COA, PCI, INC, GNC, MCI","₹1 L / yr LLB - avg fee","CLAT Exam Accepted","3.7 / 5 14 reviews"
"C. U. Shah University, Wadhwan","4.6/10","Wadhwan, Gujarat","NCTE, PCI, BCI, AICTE, NAAC","₹34.4 K / yr LLB - avg fee","",""
"ICFAI University, Dehradun","4.5/10","Dehradun, Uttarakhand","NCTE, AICTE, UGC","₹93 K / yr LLB - avg fee","3.3 / 5 4 reviews",""
"Vikram University - [VU], Ujjain","4.4/10","Ujjain, Madhya Pradesh","UGC, NAAC-A","-- LLB","3.2 / 5 4 reviews",""
"RJ School of Management Studies - [RJSMS], Baleswar","4.3/10","Baleswar, Orissa","AICTE, UGC, NAAC-A, AIU","-- LLB","",""
"Veer Narmad South Gujarat University - [VNSGU], Surat","4.3/10","Surat, Gujarat","","₹53.8 K / yr LLB - avg fee","3.8 / 5 10 reviews",""
"Integral University, Lucknow","4.3/10","Lucknow, Uttar Pradesh","PCI, MCI, NAAC, UGC","₹85 K / yr LLB - avg fee","IUET Exam Accepted","3.5 / 5 28 reviews"
"Rani Durgavati Vishwavidyalaya, Jabalpur","3.7/10","Jabalpur, Madhya Pradesh","UGC, NAAC-B","₹20 K / yr LLB - avg fee","3.3 / 5 2 reviews",""
"Sri Sathya Sai College for Women, Bhopal","3.5/10","Bhopal, Madhya Pradesh","NAAC, UGC","₹30 K / yr LLB - avg fee","4.8 / 5 2 reviews",""
"Royal PG College, Lucknow","3.3/10","Lucknow, Uttar Pradesh","","-- LLB","CLAT Exam Accepted",""
"Lords Universal College, Mumbai","2.7/10","Mumbai, Maharashtra","AICTE","₹13.8 K / yr LLB - avg fee","MH CET L... Exam Accepted","3.4 / 5 10 reviews"
"University of North Bengal, Darjeeling","2.5/10","Darjeeling, West Bengal","NAAC-A","₹4.36 K / yr LLB - avg fee","",""
"Abdul Razak Degree College - [ARDC], Jyotiba Phule Nagar","","Jyotiba Phule Nagar, Uttar Pradesh","NCTE, UGC","-- LLB","",""
"Agra College, Agra","","Agra, Uttar Pradesh","NCTE, AICTE, NAAC-A","₹13.5 K / yr LLB - avg fee","2.9 / 5 7 reviews",""
"Bareilly College, Bareilly","","Bareilly, Uttar Pradesh","UGC, NAAC-A","₹2.39 K / yr LLB - avg fee","2.9 / 5 4 reviews",""
"Chowdhary Mahadev Prasad Degree College - [CMP College], Allahabad","","Allahabad, Uttar Pradesh","NAAC","-- LLB","Allahaba... Exam Accepted","4.8 / 5 1 reviews"
"Chaudhary Charan Singh Post Graduate College, Etawah","","Etawah, Uttar Pradesh","NCTE, UGC","₹5.79 K / yr LLB - avg fee","",""
"DAV College, Muzaffarnagar","","Muzaffarnagar, Uttar Pradesh","AICTE, NAAC, UGC","-- LLB","CLAT Exam Accepted","4.4 / 5 2 reviews"
"Dharma Samaj College, Aligarh","","Aligarh, Uttar Pradesh","NAAC, UGC","-- LLB","CLAT Exam Accepted","4.6 / 5 3 reviews"
"Dr Harivansh Rai Bachchan Mahavidyalaya, Unnao","","Unnao, Uttar Pradesh","AICTE","₹2.67 K / yr LLB - avg fee","CLAT Exam Accepted",""
"Government Autonomous Post Graduate College, Chhindwara","","Chhindwara, Madhya Pradesh","UGC, NAAC-B","-- LLB","",""
"Holy Cross College, Agartala","","Agartala, Tripura","NCTE","₹15 K / yr LLB - avg fee","3.7 / 5 2 reviews",""
"Katni Arts and Commerce College - [KACC], Katni","","Katni, Madhya Pradesh","NAAC","-- LLB","",""
"Maharani Laxmi Bai Government College of Excellence - [MLB], Gwalior","","Gwalior, Madhya Pradesh","NAAC-A","₹4.8 K / yr LLB - avg fee","3 / 5 1 reviews",""
"Meerut College, Meerut","","Meerut, Uttar Pradesh","NAAC","-- LLB","CLAT Exam Accepted","3.4 / 5 9 reviews"
"Munshi Singh College, Motihari","","Motihari, Bihar","NAAC-B","-- LLB","",""
