College                         			 					,Rating               			,Location									,Affiliate 					,Average Fee 								,Exam Accepted								,Review									
"City Academy Law College, Lucknow","4.9/10","Lucknow, Uttar Pradesh","BCI","₹40 K / yr LLB - avg fee",,
"Siddharth College of Law, Mumbai","4.9/10","Mumbai, Maharashtra","BCI","-- LLB",,
"National Law University Odisha - [NLUO], Cuttack","4.9/10","Cuttack, Orissa","NAAC-A","₹1.32 L / yr LLB - avg fee",,
"Jayoti Vidyapeeth Women's University - [JVWU], Jaipur","4.9/10","Jaipur, Rajasthan","NCTE, PCI, CCH, CCIM, BCI","₹60 K / yr LLB - avg fee",,
"Shri Jai Narain PG College, Lucknow","4.6/10","Lucknow, Uttar Pradesh","NAAC","-- LLB",,
"Maneklal Nanavati Law College, Ahmedabad","4.6/10","Ahmedabad, Gujarat","BCI","-- LLB",,
"JECRC University - [JU], Jaipur","4.3/10","Jaipur, Rajasthan","AICTE, UGC","₹72.2 K / yr LLB - avg fee",,
"Mahatma Jyoti Rao Phoole University - [MJRP], Jaipur","3.3/10","Jaipur, Rajasthan","NCTE, PCI, BCI, AICTE, UGC","₹66.2 K / yr LLB - avg fee",,
"Indian Institute of Technology - [IIT], Kharagpur","9.8/10","Kharagpur, West Bengal","AICTE, UGC","₹1.14 L / yr LLB - avg fee",,
"Christ University, Bangalore","9.2/10","Bangalore, Karnataka","UGC, NAAC-A","₹1.78 L / yr LLB - avg fee",,
"Narsee Monjee Institute of Management Studies - [NMIMS University], Mumbai","8.4/10","Mumbai, Maharashtra","NAAC, UGC","₹1.45 L / yr LLB - avg fee",,
"Guru Gobind Singh Indraprastha University - [GGSIPU], New Delhi","8.4/10","New Delhi, Delhi NCR","AICTE, UGC, NAAC-A","₹18.6 K / yr LLB - avg fee",,
"Maharaja Sayajirao University of Baroda - [MSU], Baroda","8.4/10","Baroda, Gujarat","NAAC, UGC","₹39.1 K / yr LLB - avg fee",,
"Jamia Millia Islamia University-[JMI], New Delhi","8.4/10","New Delhi, Delhi NCR","AICTE, UGC, NAAC-A","₹40 K / yr LLB - avg fee",,
"O. P. Jindal Global University - [JGU], Sonepat","8.3/10","Sonepat, Haryana","BCI, UGC, NAAC-A","₹5.6 L / yr LLB - avg fee",,
"University of Delhi - [DU], New Delhi","8.3/10","New Delhi, Delhi NCR","AICTE, UGC","-- LLB",,
"Maharshi Dayanand University - [MDU], Rohtak","8.2/10","Rohtak, Haryana","UGC, NAAC-A","₹4.94 K / yr LLB - avg fee",,
"SRM University Kattankulathur Campus - [SRM], Kanchipuram","8.2/10","Kanchipuram, Tamil Nadu","UGC, NAAC-A","₹1.52 L / yr LLB - avg fee",,
"University of Calcutta, Kolkata","8.2/10","Kolkata, West Bengal","NAAC-A","₹1.8 K / yr LLB - avg fee",,
"Devi Ahilya Vishwavidyalaya, Indore","8.1/10","Indore, Madhya Pradesh","UGC, NAAC-A","₹43.6 K / yr LLB - avg fee",,
"Osmania University - [OU], Hyderabad","7.9/10","Hyderabad, Telangana","AICTE, UGC, NAAC-A","₹2.05 K / yr LLB - avg fee",,
"PES University - [PESU], Bangalore","7.9/10","Bangalore, Karnataka","AICTE, NAAC, UGC","₹2 L / yr LLB - avg fee",,
"SASTRA University, Thanjavur","7.8/10","Thanjavur, Tamil Nadu","UGC, NAAC-A","₹1.04 L / yr LLB - avg fee",,
"University of Mumbai, Mumbai","7.7/10","Mumbai, Maharashtra","UGC, NAAC-A","₹50.9 K / yr LLB - avg fee",,
"Bharati Vidyapeeth University - [BVU], Pune","7.7/10","Pune, Maharashtra","NAAC, UGC","₹75 K / yr LLB - avg fee",,
"Banasthali University, Jaipur","7.5/10","Jaipur, Rajasthan","UGC, NAAC-A","₹1.17 L / yr LLB - avg fee",,
"Noida International University - [NIU], Gautam Budh Nagar","7.5/10","Gautam Budh Nagar, Uttar Pradesh","AICTE, UGC","₹92.4 K / yr LLB - avg fee",,
"Savitribai Phule Pune University - [SPPU], Pune","7.3/10","Pune, Maharashtra","UGC, NAAC-A","₹18.3 K / yr LLB - avg fee",,
"Amity University, Noida","7.3/10","Noida, Uttar Pradesh","NAAC, UGC","₹2.96 L / yr LLB - avg fee",,
"Banaras Hindu University - [BHU], Varanasi","7.3/10","Varanasi, Uttar Pradesh","NAAC, UGC, AIU","₹1.39 K / yr LLB - avg fee",,
"Madhav University - [MU], Sirohi","7.2/10","Sirohi, Rajasthan","NCTE, PCI, AICTE, BCI, UGC","₹49.9 K / yr LLB - avg fee",,
"OPJS University, Churu","7.2/10","Churu, Rajasthan","NCTE, COA, AICTE, BCI, UGC","₹31.2 K / yr LLB - avg fee",,
"Kristu Jayanti College - [KJC], Bangalore","7.1/10","Bangalore, Karnataka","BCI, AICTE, NAAC","-- LLB",,
"Chaudhary Charan Singh University - [CCS], Meerut","7.1/10","Meerut, Uttar Pradesh","UGC, NAAC-B","₹32.9 K / yr LLB - avg fee",,
"Aligarh Muslim University - [AMU], Aligarh","7.1/10","Aligarh, Uttar Pradesh","NAAC, UGC","₹12 K / yr LLB - avg fee",,
"Ansal University- [AU], Gurgaon","7.0/10","Gurgaon, Haryana","UGC","₹1.87 L / yr LLB - avg fee",,
"Rayat Bahra University, Mohali","7.0/10","Mohali, Punjab","NCTE, AICTE, UGC","₹50 K / yr LLB - avg fee",,
"Bundelkhand University, Jhansi","6.9/10","Jhansi, Uttar Pradesh","AICTE, NAAC, UGC","₹16 K / yr LLB - avg fee",,
"Dr. D.Y. Patil Vidya Pratishthan Society's, Pune","6.9/10","Pune, Maharashtra","NCTE, AICTE, NAAC, NBA","-- LLB",,
"Siksha 'O' Anusandhan University - [SOA], Bhubaneswar","6.9/10","Bhubaneswar, Orissa","UGC, NAAC-A","₹98 K / yr LLB - avg fee",,
"Dr. C.V. Raman University - [CVRU], Bilaspur","6.9/10","Bilaspur, Chhattisgarh","NCTE, BCI, AICTE, UGC, DEB","₹36 K / yr LLB - avg fee",,
"Desh Bhagat University - [DBU], Gobindgarh","6.8/10","Gobindgarh, Punjab","UGC","₹58.3 K / yr LLB - avg fee",,
"Jiwaji University, Gwalior","6.8/10","Gwalior, Madhya Pradesh","UGC","₹27.7 K / yr LLB - avg fee",,
"Bahra University - [BU], Shimla","6.8/10","Shimla, Himachal Pradesh","PCI, BCI, UGC","₹59.5 K / yr LLB - avg fee",,
"University of Mysore - [UOM], Mysore","6.8/10","Mysore, Karnataka","UGC, NAAC-A, AIU","₹25.4 K / yr LLB - avg fee",,
"ITM University, Gwalior","6.8/10","Gwalior, Madhya Pradesh","AICTE, NAAC, UGC","₹75 K / yr LLB - avg fee",,
"Invertis University, Bareilly","6.7/10","Bareilly, Uttar Pradesh","NCTE, BCI, AICTE, UGC, NBA","₹50 K / yr LLB - avg fee",,
"AISECT University, Bhopal","6.7/10","Bhopal, Madhya Pradesh","NCTE, AICTE","-- LLB",,
"Kumaun University, Nainital","6.7/10","Nainital, Uttarakhand","NAAC-A","₹17.8 K / yr LLB - avg fee",,
"Kolhan University, Chaibasa","6.7/10","Chaibasa, Jharkhand","UGC","-- LLB",,
"Mangalayatan University - [MU], Aligarh","6.7/10","Aligarh, Uttar Pradesh","NCTE, COA, PCI, BCI, UGC","₹46.7 K / yr LLB - avg fee",,
"BS Anangpuria Institute of Education, Faridabad","6.7/10","Faridabad, Haryana","NCTE, AICTE","-- LLB",,
"Hemwati Nandan Bahuguna Garhwal University, Garhwal","6.7/10","Garhwal, Uttarakhand","PCI, AICTE, UGC, NAAC-A","₹5.38 K / yr LLB - avg fee",,
"Pacific University, Udaipur","6.7/10","Udaipur, Rajasthan","UGC, AIU","₹36.2 K / yr LLB - avg fee",,
"Fairfield Institute of Management and Technology - [FIMT], New Delhi","6.6/10","New Delhi, Delhi NCR","NAAC","₹55.5 K / yr LLB - avg fee",,
"INMANTEC Institutions, Ghaziabad","6.6/10","Ghaziabad, Uttar Pradesh","AICTE","₹40 K / yr LLB - avg fee",,
"Rajiv Gandhi College, Bhopal","6.6/10","Bhopal, Madhya Pradesh","NCTE, CCIM, BCI, AICTE, UGC","₹12 K / yr LLB - avg fee",,
