College                         			 					,Rating               			,Location									,Affiliate 					,Average Fee 								,Exam Accepted								,Review									
"National Institute of Technology - [NIT], Hamirpur","7.9/10","Hamirpur, Himachal Pradesh","AICTE","₹91.1 K / yr BE/B.Tech - avg fe...",,"4.2 / 5 20 reviews"
"Birsa Institute of Technology - [BIT], Dhanbad","7.9/10","Dhanbad, Jharkhand","AICTE","-- BE/B.Tech",,"3.7 / 5 36 reviews"
"KJ Somaiya Institute of Engineering and Information Technology - [KJSIEIT], Mumbai","7.9/10","Mumbai, Maharashtra","AICTE","₹1.39 L / yr BE/B.Tech - avg fe...",,""
"National Institute of Foundry & Forge Technology - [NIFFT], Ranchi","7.9/10","Ranchi, Jharkhand","AICTE","₹43.1 K / yr BE/B.Tech - avg fe...",,"3.9 / 5 5 reviews"
"Pune Institute of Computer Technology- [PICT], Pune","7.9/10","Pune, Maharashtra","AICTE, NAAC","₹90 K / yr BE/B.Tech - avg fe...",,"3.9 / 5 25 reviews"
"National Institute of Technology - [NIT], Srinagar","7.9/10","Srinagar, Jammu and Kashmir","AICTE","₹77.2 K / yr BE/B.Tech - avg fe...",,"3.1 / 5 31 reviews"
"Ambedkar Institute of Advanced Communication Technologies and Research - [AIACTR], New Delhi","7.9/10","New Delhi, Delhi NCR","AICTE","₹40 K / yr BE/B.Tech - avg fe...",,"3.7 / 5 25 reviews"
"Harcourt Butler Technological University - [HBTU], Kanpur","7.9/10","Kanpur, Uttar Pradesh","AICTE, NBA","₹93.3 K / yr BE/B.Tech - avg fe...",,"3.5 / 5 32 reviews"
"PES University - [PESU], Bangalore","7.9/10","Bangalore, Karnataka","AICTE, NAAC, UGC","₹3.2 L / yr BE/B.Tech - avg fe...",,"4 / 5 97 reviews"
"Bhagwan Parshuram Institute of Technology - [BPIT], New Delhi","7.8/10","New Delhi, Delhi NCR","AICTE","₹88.5 K / yr BE/B.Tech - avg fe...",,""
"Guru Premsukh Memorial College of Engineering - [GPMCE], New Delhi","7.8/10","New Delhi, Delhi NCR","AICTE","₹74.3 K / yr BE/B.Tech - avg fe...",,""
"HMR Institute of Technology & Management - [HMRITM], New Delhi","7.8/10","New Delhi, Delhi NCR","AICTE","₹96.2 K / yr BE/B.Tech - avg fe...",,""
"Northern India Engineering College - [NIEC], New Delhi","7.8/10","New Delhi, Delhi NCR","AICTE, NAAC","₹1.02 L / yr BE/B.Tech - avg fe...",,""
"Tamil Nadu Agricultural University - [TNAU], Coimbatore","7.8/10","Coimbatore, Tamil Nadu","ICAR","₹1.17 L / yr BE/B.Tech - avg fe...",,"3.8 / 5 3 reviews"
"TERI University, New Delhi","7.8/10","New Delhi, Delhi NCR","UGC, NAAC-A","₹2.05 L / yr ME/M.Tech - avg fe...",,"3.6 / 5 14 reviews"
"SASTRA University, Thanjavur","7.8/10","Thanjavur, Tamil Nadu","UGC, NAAC-A","₹1.15 L / yr BE/B.Tech - avg fe...",,"4.2 / 5 80 reviews"
"Jamia Hamdard University, New Delhi","7.8/10","New Delhi, Delhi NCR","MCI, AICTE, UGC, NAAC-A","₹1.33 L / yr BE/B.Tech - avg fe...",,"4 / 5 20 reviews"
"Amrita Vishwa Vidyapeetham Coimbatore Campus, Coimbatore","7.8/10","Coimbatore, Tamil Nadu","AICTE, UGC, NAAC-A, MHRD","₹3 L / yr BE/B.Tech - avg fe...",,"4.2 / 5 24 reviews"
"The National Institute of Engineering - [NIE], Mysore","7.7/10","Mysore, Karnataka","AICTE, UGC","₹44.4 K / yr BE/B.Tech - avg fe...",,"3.9 / 5 39 reviews"
"Narsee Monjee Institute of Management Studies - [NMIMS University], Mumbai","7.7/10","Mumbai, Maharashtra","NAAC, UGC","₹2.78 L / yr BE/B.Tech - avg fe...",,"3.9 / 5 57 reviews"
"Govind Ballabh Pant University of Agriculture and Technology, Pantnagar","7.7/10","Pantnagar, Uttarakhand","AICTE, ICAR, UGC","₹89.3 K / yr BE/B.Tech - avg fe...",,"4 / 5 7 reviews"
"International Institute of Information Technology - [IIIT-B], Bangalore","7.7/10","Bangalore, Karnataka","UGC, NAAC-A","₹2.16 L / yr BE/B.Tech - avg fe...",,"4.4 / 5 15 reviews"
"Banasthali University, Jaipur","7.7/10","Jaipur, Rajasthan","UGC, NAAC-A","₹1.18 L / yr BE/B.Tech - avg fe...",,"4 / 5 24 reviews"
"Chaitanya Bharathi Institute of Technology - [CBIT], Hyderabad","7.7/10","Hyderabad, Telangana","AICTE, NAAC-B","₹1.22 L / yr BE/B.Tech - avg fe...",,"4.2 / 5 52 reviews"
"Bangalore Institute of Technology - [BIT], Bangalore","7.7/10","Bangalore, Karnataka","AICTE","₹47 K / yr BE/B.Tech - avg fe...",,"3.8 / 5 52 reviews"
"GMR Institute of Technology - [GMRIT], Rajam","7.6/10","Rajam, Andhra Pradesh","AICTE, NAAC-A","₹1.09 L / yr BE/B.Tech - avg fe...",,"3.9 / 5 25 reviews"
"Manipal Institute of Technology - [MIT], Manipal","7.6/10","Manipal, Karnataka","AICTE, NBA","₹3 L / yr BE/B.Tech - avg fe...",,"4.4 / 5 86 reviews"
"National Institute of Technology - [NIT], Agartala","7.6/10","Agartala, Tripura","AICTE","₹1.38 L / yr BE/B.Tech - avg fe...",,"3.9 / 5 18 reviews"
"K. J. Somaiya College of Engineering - [KJSCE], Mumbai","7.5/10","Mumbai, Maharashtra","AICTE, NAAC-A","₹1.61 L / yr BE/B.Tech - avg fe...",,"4 / 5 61 reviews"
"National Institute of Technology - [NIT] Arunachal Pradesh, Papum Pare","7.5/10","Papum Pare, Arunachal Pradesh","AICTE, UGC","₹1.32 L / yr BE/B.Tech - avg fe...",,""
"National Institute of Technology - [NIT], Raipur","7.5/10","Raipur, Chhattisgarh","AICTE, NBA","₹46.7 K / yr BE/B.Tech - avg fe...",,"3.7 / 5 39 reviews"
"National Institute of Technology - [NIT], Jamshedpur","7.5/10","Jamshedpur, Jharkhand","AICTE, MHRD","₹1.49 L / yr BE/B.Tech - avg fe...",,"3.9 / 5 40 reviews"
"National Institute of Technology - [NITC], Calicut","7.5/10","Calicut, Kerala","AICTE","₹1.35 L / yr BE/B.Tech - avg fe...",,"4 / 5 46 reviews"
"University School of Information, Communication and Technology - [USICT], New Delhi","7.5/10","New Delhi, Delhi NCR","NAAC-A","₹18.4 K / yr BE/B.Tech - avg fe...",,"3.9 / 5 23 reviews"
"Indira Gandhi Delhi Technical University For Women -[IGDTUW], New Delhi","7.5/10","New Delhi, Delhi NCR","AICTE, UGC","₹75 K / yr BE/B.Tech - avg fe...",,"3.5 / 5 14 reviews"
"Rajiv Gandhi Institute of Technology - [RGIT], Mumbai","7.5/10","Mumbai, Maharashtra","AICTE","₹66 K / yr BE/B.Tech - avg fe...",,"3.5 / 5 16 reviews"
"Coimbatore Institute of Technology - [CIT], Coimbatore","7.4/10","Coimbatore, Tamil Nadu","AICTE, NAAC, NBA","₹54.6 K / yr BE/B.Tech - avg fe...",,"3.9 / 5 19 reviews"
"Maharaja Agrasen Institute of Technology - [MAIT], New Delhi","7.4/10","New Delhi, Delhi NCR","AICTE, NBA","₹1.16 L / yr BE/B.Tech - avg fe...",,""
"Maharaja Surajmal Institute of Technology - [MSIT], New Delhi","7.3/10","New Delhi, Delhi NCR","AICTE, NBA, NAAC-A","₹1.13 L / yr BE/B.Tech - avg fe...",,""
"D. Y. Patil College of Engineering Akurdi, Pune","7.3/10","Pune, Maharashtra","AICTE, NBA","₹87.3 K / yr BE/B.Tech - avg fe...",,"3.4 / 5 44 reviews"
"University Visvesvaraya College of Engineering - [UVCE], Bangalore","7.3/10","Bangalore, Karnataka","AICTE, NAAC","₹29.9 K / yr BE/B.Tech - avg fe...",,"3.5 / 5 28 reviews"
"SRM Engineering College, Kanchipuram","7.3/10","Kanchipuram, Tamil Nadu","AICTE, UGC, NAAC-A, MHRD","₹3.53 L / yr BE/B.Tech - avg fe...",,"3.5 / 5 7 reviews"
"Amity University, Noida","7.3/10","Noida, Uttar Pradesh","NAAC, UGC","₹4.36 L / yr BE/B.Tech - avg fe...",,"4 / 5 159 reviews"
"Bharati Vidyapeeth University College of Engineering - [BVUCOE], Pune","7.2/10","Pune, Maharashtra","AICTE","₹95 K / yr BE/B.Tech - avg fe...",,"3.5 / 5 17 reviews"
"Ajay Kumar Garg Engineering College - [AKGEC], Ghaziabad","7.2/10","Ghaziabad, Uttar Pradesh","AICTE, NAAC","₹1.07 L / yr BE/B.Tech - avg fe...",,"3.8 / 5 66 reviews"
"JSS Academy of Technical Education - [JSSATE], Noida","7.2/10","Noida, Uttar Pradesh","AICTE","₹1.21 L / yr BE/B.Tech - avg fe...",,"3.7 / 5 77 reviews"
"M. S. Ramaiah Institute of Technology - [MSRIT], Bangalore","7.2/10","Bangalore, Karnataka","NBA, NAAC-A","₹50.5 K / yr BE/B.Tech - avg fe...",,"4.1 / 5 72 reviews"
"Indraprastha Institute of Information Technology - [IIITD], New Delhi","7.2/10","New Delhi, Delhi NCR","AICTE","₹2.53 L / yr BE/B.Tech - avg fe...",,"4.4 / 5 7 reviews"
"University Institute of Chemical Engineering and Technology, Panjab University - [UICTE], Chandigarh","7.2/10","Chandigarh, Chandigarh","AICTE","₹15.4 K / yr BE/B.Tech - avg fe...",,"2.7 / 5 2 reviews"
"Chandigarh College of Engineering and Technology - [CCET], Chandigarh","7.2/10","Chandigarh, Chandigarh","AICTE","₹55.2 K / yr BE/B.Tech - avg fe...",,"3.6 / 5 22 reviews"
"Bharati Vidyapeeth's College of Engineering - [BVCOE], New Delhi","7.2/10","New Delhi, Delhi NCR","AICTE","₹1.12 L / yr BE/B.Tech - avg fe...",,""
"Government College of Engineering - [GCE], Chandrapur","7.2/10","Chandrapur, Maharashtra","AICTE","₹25.2 K / yr BE/B.Tech - avg fe...",,""
"Guru Nanak Dev Engineering College - [GNDEC], Ludhiana","7.1/10","Ludhiana, Punjab","AICTE, NBA","₹1.01 L / yr BE/B.Tech - avg fe...",,"3.8 / 5 44 reviews"
"Jawaharlal Nehru Technological University - [JNTU], Kakinada","7.1/10","Kakinada, Andhra Pradesh","UGC","₹30 K / yr BE/B.Tech - avg fe...",,"4 / 5 19 reviews"
"MIT World Peace University - [MITWPU], Pune","7.0/10","Pune, Maharashtra","AICTE, UGC, NBA","₹2.23 L / yr BE/B.Tech - avg fe...",,"4 / 5 47 reviews"
"National Institute of Technology - [NIT], Silchar","6.9/10","Silchar, Assam","AICTE, UGC, MHRD","₹75.8 K / yr BE/B.Tech - avg fe...",,"4.1 / 5 16 reviews"
"National Institute of Technology - [NITP], Patna","6.9/10","Patna, Bihar","AICTE, UGC, MHRD","₹1.34 L / yr BE/B.Tech - avg fe...",,"3.8 / 5 46 reviews"
"National Institute of Technology - [NIT], South Goa","6.9/10","South Goa, Goa","AICTE, UGC","₹1.34 L / yr BE/B.Tech - avg fe...",,"3.8 / 5 8 reviews"
"National Institute of Technology - [NIT], South Sikkim","6.9/10","South Sikkim, Sikkim","AICTE, UGC","₹1.33 L / yr BE/B.Tech - avg fe...",,"4 / 5 4 reviews"
"National Institute of Technology - [NIT], Pondicherry","6.9/10","Pondicherry, Puducherry","AICTE, UGC","₹79 K / yr BE/B.Tech - avg fe...",,"2.8 / 5 4 reviews"
"National Institute of Technology - [NIT] Nagaland, Dimapur","6.9/10","Dimapur, Nagaland","AICTE, UGC","₹1.34 L / yr BE/B.Tech - avg fe...",,"4.3 / 5 1 reviews"
"National Institute of Technology - [NIT] Manipur, Imphal","6.9/10","Imphal, Manipur","AICTE","₹1.38 L / yr BE/B.Tech - avg fe...",,"3.6 / 5 2 reviews"
"National Institute of Technology - [NIT] Mizoram, Aizawl","6.9/10","Aizawl, Mizoram","AICTE","₹62.5 K / yr BE/B.Tech - avg fe...",,"3.2 / 5 2 reviews"
"Birla Institute of Technology and Science - [BITS], Hyderabad","6.9/10","Hyderabad, Telangana","AICTE, NAAC, UGC","₹3.29 L / yr BE/B.Tech - avg fe...",,"4.5 / 5 40 reviews"
"Chaudhary Charan Singh Haryana Agricultural University - [CCSHAU], Hisar","6.8/10","Hisar, Haryana","AICTE, UGC","₹48.5 K / yr BE/B.Tech - avg fe...",,"4 / 5 2 reviews"
"Vinayaka Missions University - [VMU], Salem","6.7/10","Salem, Tamil Nadu","UGC","₹80 K / yr ME/M.Tech - avg fe...",,""
"Noorul Islam University, Kanyakumari","6.7/10","Kanyakumari, Tamil Nadu","AICTE, UGC, NBA, NAAC-A","₹1 L / yr BE/B.Tech - avg fe...",,"3.7 / 5 9 reviews"
"Orissa University of Agriculture and Technology - [OUAT], Bhubaneswar","6.7/10","Bhubaneswar, Orissa","ICAR, UGC","₹46 K / yr BE/B.Tech - avg fe...",,"3.9 / 5 3 reviews"
"Academy of Maritime Education and Training University - [AMET], Chennai","6.7/10","Chennai, Tamil Nadu","AICTE, NAAC, UGC","₹1.95 L / yr BE/B.Tech - avg fe...",,"3.6 / 5 9 reviews"
"Indian Maritime University - [IMU], Chennai","6.7/10","Chennai, Tamil Nadu","UGC","₹2.25 L / yr BE/B.Tech - avg fe...",,"3.6 / 5 26 reviews"
"Ponnaiyah Ramajayam Institute of Science and Technology University - [PRIST University], Thanjavur","6.7/10","Thanjavur, Tamil Nadu","UGC","₹70.3 K / yr BE/B.Tech - avg fe...",,"3.3 / 5 9 reviews"
"National Institute of Technology - [NIT] Uttarkhand, Srinagar Garhwal","6.7/10","Srinagar Garhwal, Uttarakhand","","₹80.2 K / yr BE/B.Tech - avg fe...",,"3.8 / 5 3 reviews"
"Periyar Maniammai University School of Architecture, Engineering and Technology - [SAET], Thanjavur","6.7/10","Thanjavur, Tamil Nadu","AICTE, NAAC, UGC","₹1.12 L / yr BE/B.Tech - avg fe...",,""
"VELS University, Chennai","6.7/10","Chennai, Tamil Nadu","AICTE, NAAC-B","₹94.9 K / yr BE/B.Tech - avg fe...",,"4.1 / 5 12 reviews"
"Sir Padampat Singhania University - [SPSU], Udaipur","6.6/10","Udaipur, Rajasthan","UGC, AIU","₹1.73 L / yr BE/B.Tech - avg fe...",,"3.3 / 5 21 reviews"
"Ballarpur Institute of Technology - [BIT], Chandrapur","6.6/10","Chandrapur, Maharashtra","AICTE","₹59.9 K / yr BE/B.Tech - avg fe...",,"3.6 / 5 4 reviews"
"Ch. B.P. Government Engineering College, New Delhi","6.6/10","New Delhi, Delhi NCR","AICTE","₹36.3 K / yr BE/B.Tech - avg fe...",,""
"ITM College of Engineering, Nagpur","6.6/10","Nagpur, Maharashtra","AICTE","₹59.4 K / yr BE/B.Tech - avg fe...",,
"VSM College of Engineering, East Godavari","6.6/10","East Godavari, Andhra Pradesh","AICTE, NAAC-B","₹60 K / yr BE/B.Tech - avg fe...",,"4.3 / 5 4 reviews"
"Kakinada Institute of Technology and Science - [KITS], East Godavari","6.6/10","East Godavari, Andhra Pradesh","AICTE","₹30 K / yr BE/B.Tech - avg fe...",,"3.5 / 5 13 reviews"
"Shri Sai College Of Engineering And Technology, Chandrapur","6.6/10","Chandrapur, Maharashtra","AICTE","₹77.1 K / yr BE/B.Tech - avg fe...",,""
"Lenora College of Engineering, East Godavari","6.6/10","East Godavari, Andhra Pradesh","AICTE","₹30 K / yr BE/B.Tech - avg fe...",,"4 / 5 1 reviews"
"Maharaja Institute of Technology - [MIT], Mysore","6.5/10","Mysore, Karnataka","AICTE","₹55 K / yr BE/B.Tech - avg fe...",,"2.5 / 5 2 reviews"
"National Dairy Research Institute - [NDRI], Karnal","6.5/10","Karnal, Haryana","ICAR, UGC","₹10.7 K / yr BE/B.Tech - avg fe...",,""
"Zakir Hussain College of Engineering and Technology - [ZHCET], Aligarh","6.5/10","Aligarh, Uttar Pradesh","AICTE, NBA","₹15.7 K / yr BE/B.Tech - avg fe...",,"4.1 / 5 21 reviews"
"Indian Institute of Information Technology Design and Manufacturing - [IIITDM], Jabalpur","6.5/10","Jabalpur, Madhya Pradesh","UGC","₹1.09 L / yr BE/B.Tech - avg fe...",,"4.3 / 5 12 reviews"
"College of Agricultural Engineering and Technology - [CAET], Hisar","6.5/10","Hisar, Haryana","AICTE","₹20.8 K / yr BE/B.Tech - avg fe...",,"3.9 / 5 1 reviews"
"College of Technology, GB Pant University of Agriculture & Technology , Pantnagar","6.5/10","Pantnagar, Uttarakhand","AICTE","₹35.6 K / yr BE/B.Tech - avg fe...",,"3.2 / 5 13 reviews"
"Anil Neerukonda Institute of Technology & Sciences - [ANITS], Visakhapatnam","6.5/10","Visakhapatnam, Andhra Pradesh","AICTE, NBA, NAAC-A","₹75.8 K / yr BE/B.Tech - avg fe...",,"3.6 / 5 27 reviews"
"BN College of Engineering and Technology - [BNCET], Lucknow","6.5/10","Lucknow, Uttar Pradesh","AICTE","₹95 K / yr BE/B.Tech - avg fe...",,""
"Bhilai Institute of Technology - [BIT], Durg","6.5/10","Durg, Chhattisgarh","AICTE, NBA","₹69.9 K / yr BE/B.Tech - avg fe...",,"3.6 / 5 33 reviews"
"Bundelkhand Institute of Engineering & Technology - [BIET], Jhansi","6.5/10","Jhansi, Uttar Pradesh","AICTE","₹57 K / yr BE/B.Tech - avg fe...",,"3.6 / 5 18 reviews"
"CVR College of Engineering, Rangareddi","6.5/10","Rangareddi, Telangana","NAAC-A","₹66.7 K / yr BE/B.Tech - avg fe...",,"4.2 / 5 28 reviews"
"College of Technology and Engineering, Maharana Pratap University of Agriculture and Technology - [CTAE], Udaipur","6.5/10","Udaipur, Rajasthan","AICTE","₹62.2 K / yr BE/B.Tech - avg fe...",,"3.5 / 5 15 reviews"
"DAV Institute of Engineering and Technology - [DAVIET], Jalandhar","6.5/10","Jalandhar, Punjab","AICTE","₹74.9 K / yr BE/B.Tech - avg fe...",,"3.5 / 5 27 reviews"
"Don Bosco Institute of Technology - [DBIT], Mumbai","6.5/10","Mumbai, Maharashtra","AICTE","₹1.23 L / yr BE/B.Tech - avg fe...",,""
"Easwari Engineering College - [EEC], Chennai","6.5/10","Chennai, Tamil Nadu","AICTE, NBA, NAAC-A","₹45 K / yr BE/B.Tech - avg fe...",,"3.5 / 5 11 reviews"
"Fr. Conceicao Rodrigues College of Engineering - [CRCE], Mumbai","6.5/10","Mumbai, Maharashtra","AICTE","₹1.26 L / yr BE/B.Tech - avg fe...",,"4.1 / 5 14 reviews"
"Fr. C. Rodrigues Institute of Technology - [FCRIT], Navi Mumbai","6.5/10","Navi Mumbai, Maharashtra","AICTE, NBA","₹1.21 L / yr BE/B.Tech - avg fe...",,"3.5 / 5 15 reviews"
"G Narayanamma Institute of Technology and Science - [GNITS], Hyderabad","6.5/10","Hyderabad, Telangana","AICTE, NAAC, NBA","₹84.3 K / yr BE/B.Tech - avg fe...",,"4.2 / 5 6 reviews"
"G. Pulla Reddy Engineering College - [GPREC], Kurnool","6.5/10","Kurnool, Andhra Pradesh","AICTE, NAAC, NBA","₹70.3 K / yr BE/B.Tech - avg fe...",,"4 / 5 12 reviews"
"GITAM Institute of Technology - [GIT], Visakhapatnam","6.5/10","Visakhapatnam, Andhra Pradesh","NAAC-A","₹2.25 L / yr BE/B.Tech - avg fe...",,"4 / 5 27 reviews"
"Gayatri Vidya Parishad College of Engineering - [GVP], Visakhapatnam","6.5/10","Visakhapatnam, Andhra Pradesh","AICTE, NAAC-A","₹93.6 K / yr BE/B.Tech - avg fe...",,"3.7 / 5 56 reviews"
"Gokaraju Rangaraju Institute of Engineering and Technology [GRIET], Hyderabad","6.5/10","Hyderabad, Telangana","AICTE, NBA","₹1.02 L / yr BE/B.Tech - avg fe...",,"3.7 / 5 36 reviews"
"Government College of Engineering - [GCE], Kannur","6.5/10","Kannur, Kerala","AICTE","₹7.28 K / yr BE/B.Tech - avg fe...",,"4.3 / 5 5 reviews"
"Government College of Engineering - [GECA], Aurangabad","6.5/10","Aurangabad, Maharashtra","AICTE","₹60.3 K / yr BE/B.Tech - avg fe...",,"4.3 / 5 3 reviews"
"Government College of Engineering - [GCE], Salem","6.5/10","Salem, Tamil Nadu","AICTE, NBA","₹16.8 K / yr BE/B.Tech - avg fe...",,"3.9 / 5 8 reviews"
"Government College of Engineering - [GCOEA], Amravati","6.5/10","Amravati, Maharashtra","AICTE, NBA","₹65.1 K / yr BE/B.Tech - avg fe...",,"3.9 / 5 6 reviews"
"Dr. S & S.S. Ghandhy Government Engineering College, Surat","6.5/10","Surat, Gujarat","AICTE","-- BE/B.Tech",,"3.7 / 5 18 reviews"
"Govind Ballabh Pant Engineering College - [GBPEC], Garhwal","6.5/10","Garhwal, Uttarakhand","AICTE","₹37.7 K / yr BE/B.Tech - avg fe...",,"3.3 / 5 19 reviews"
"Institute of Road and Transport Technology - [IRTTECH], Erode","6.5/10","Erode, Tamil Nadu","AICTE","₹45 K / yr BE/B.Tech - avg fe...",,"3.7 / 5 4 reviews"
"Kakatiya Institute of Technology & Science - [KITSW], Warangal","6.5/10","Warangal, Telangana","AICTE","₹85.6 K / yr BE/B.Tech - avg fe...",,"4.4 / 5 12 reviews"
"Kalyani Government Engineering College - [KGEC], Nadia","6.5/10","Nadia, West Bengal","AICTE","₹9.43 K / yr BE/B.Tech - avg fe...",,"3.7 / 5 18 reviews"
"Kamla Nehru Institute of Technology - [KNIT], Sultanpur","6.5/10","Sultanpur, Uttar Pradesh","AICTE","₹59.6 K / yr BE/B.Tech - avg fe...",,"3.3 / 5 25 reviews"
"MBM Engineering College - [MBM], Jodhpur","6.5/10","Jodhpur, Rajasthan","AICTE","-- BE/B.Tech",,"3.8 / 5 34 reviews"
"Madan Mohan Malaviya University of Technology - [MMMUT], Gorakhpur","6.5/10","Gorakhpur, Uttar Pradesh","AICTE, UGC","₹1.56 L / yr BE/B.Tech - avg fe...",,"3.7 / 5 26 reviews"
"Madhav Institute of Technology and Science - [MITS], Gwalior","6.5/10","Gwalior, Madhya Pradesh","AICTE","₹77.9 K / yr BE/B.Tech - avg fe...",,"3.8 / 5 32 reviews"
"Mahatma Gandhi Institute of Technology - [MGIT], Hyderabad","6.5/10","Hyderabad, Telangana","AICTE","₹96.7 K / yr BE/B.Tech - avg fe...",,"4.1 / 5 22 reviews"
"Mar Athanasius College of Engineering - [MACE], Kothamangalam","6.5/10","Kothamangalam, Kerala","AICTE","₹13.7 K / yr BE/B.Tech - avg fe...",,"4 / 5 13 reviews"
"Medi-Caps Institute of Technology and Management - [MITM], Indore","6.5/10","Indore, Madhya Pradesh","AICTE, UGC","₹60 K / yr BE/B.Tech - avg fe...",,"3.6 / 5 25 reviews"
