"4973","Certificate Course in Forensic Science Get Detailed Fees","15,000"
"25598","Bachelor of Technology [B.Tech] Get Detailed Fees","197,500"
"25598","Master of Business Administration [MBA] Get Detailed Fees","385,750"
"25598","Bachelor of Arts [BA] Get Detailed Fees","63,267"
"25598","Bachelor of Science [B.Sc] Get Detailed Fees","21,667"
"25598","Bachelor of Technology [B.Tech] {Lateral} Get Detailed Fees","208,333"
"25598","Bachelor of Business Administration [BBA] Get Detailed Fees","64,933"
"25598","Bachelor of Arts [B.A] {Hons.} Get Detailed Fees","69,000"
"25598","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","197,000"
"25598","Bachelor of Arts + Bachelor of Law [BALLB] {Hons.} Get Detailed Fees","156,620"
"25598","Bachelor of Science [B.Sc] {Hons.} (Psychology) Get Detailed Fees","21,667"
"25598","Bachelor of Business Administration [BBA] + Bachelor of Law [L.L.B] {Hons.} Get Detailed Fees","188,140"
"25598","Bachelor of Computer Application [BCA] Get Detailed Fees","113,767"
"25598","Bachelor of Commerce [B.Com] Get Detailed Fees","45,000"
"25598","Bachelor of Hotel Management [BHM] Get Detailed Fees","124,900"
"25598","Bachelor of Business Administration [BBA] {Hons.} Get Detailed Fees","162,667"
"25598","Bachelor of Education [B.Ed] Get Detailed Fees","62,500"
"25598","Master of Science [M.Sc] Get Detailed Fees","84,400"
"25598","Master of Science [M.Sc] (Strategic Management) Get Detailed Fees","63,000"
"25598","Master of Arts [M.A] Get Detailed Fees","53,150"
"25598","Master of Technology [M.Tech] Get Detailed Fees","132,000"
"25598","Master of Laws [L.L.M] Get Detailed Fees","115,000"
"25598","Master of Social Work [MSW] Get Detailed Fees","78,750"
"25598","Master of Commerce [M.Com] Get Detailed Fees","68,250"
"25598","Master of Computer Applications [M.C.A] Get Detailed Fees","121,667"
"25598","Ph.D Get Detailed Fees","90,000"
"25598","Master of Philosophy [M.Phil] Get Detailed Fees","60,000"
"25598","Diploma",""
"1904","Bachelor of Science [B.Sc] {Hons.} Get Detailed Fees","16,173"
"1904","Bachelor of Science [B.Sc] Get Detailed Fees","16,173"
"1904","Bachelor of Arts [BA] Get Detailed Fees","14,333"
"1904","Bachelor of Arts [BA] {Hons.} Get Detailed Fees","14,333"
"1904","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","14,333"
"1904","Master of Arts [M.A] Get Detailed Fees","12,307"
"1904","Master of Science [M.Sc] Get Detailed Fees","12,327"
"1904","Master of Commerce [M.Com] Get Detailed Fees","12,807"
"1904","Certification Get Detailed Fees","19,500"
"18892","Bachelor of Commerce [B.Com] Get Detailed Fees","60,000"
"18892","Bachelor of Business Administration [BBA] Get Detailed Fees","155,000"
"18892","Bachelor of Business Administration [BBA Professional] Get Detailed Fees","155,000"
"18892","Master of Commerce [M.Com] Get Detailed Fees","77,000"
"18892","Post Graduate Diploma in Management [PGDM]",""
"18892","Post Graduate Diploma in Capital and Commodities Markets",""
"15968","Bachelor of Commerce [B.Com] Get Detailed Fees","6,551"
"15968","Bachelor of Management Studies [BMS] Get Detailed Fees","6,551"
"15968","Bachelor of Science [B.Sc] (Information Technology)",""
"15968","Master of Commerce [M.Com]",""
"4897","Bachelor of Arts [BA] Get Detailed Fees","5,263"
"4897","Bachelor of Commerce [B.Com] Get Detailed Fees","17,527"
"4897","Bachelor of Science [B.Sc] Get Detailed Fees","23,927"
"4897","Bachelor of Management Studies [BMS] Get Detailed Fees","16,227"
"4897","Bachelor of Mass Media [B.M.M.] Get Detailed Fees","16,827"
"4897","Master of Commerce [M.Com] Get Detailed Fees","11,540"
"5066","Bachelor of Arts [BA] Get Detailed Fees","19,463"
"5066","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","21,063"
"5066","Bachelor of Arts [B.A] {Hons.} Get Detailed Fees","19,463"
"5066","Bachelor of Commerce [B.Com] (Accountancy) Get Detailed Fees","21,063"
"5066","Master of Arts [M.A] Get Detailed Fees","25,343"
"5066","Master of Commerce [M.Com] Get Detailed Fees","25,343"
"1859","Bachelor of Science [B.Sc] {Hons.} Get Detailed Fees","21,395"
"1859","Bachelor of Arts [BA] Get Detailed Fees","18,895"
"1859","Bachelor of Arts [B.A] {Hons.} Get Detailed Fees","18,895"
"1859","Bachelor of Science [B.Sc] Get Detailed Fees","21,395"
"1859","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","18,895"
"1859","Master of Science [M.Sc] Get Detailed Fees","16,554"
"1859","Master of Commerce [M.Com] Get Detailed Fees","17,034"
"1859","Master of Arts [M.A] Get Detailed Fees","12,307"
"3047","Bachelor of Science [B.Sc] Get Detailed Fees","42,000 *"
"3047","Bachelor of Arts [BA] Get Detailed Fees","30,000 *"
"3047","Bachelor of Commerce [B.Com] Get Detailed Fees","55,600 *"
"3047","Bachelor of Business Administration [BBA] Get Detailed Fees","92,500 *"
"3047","Bachelor of Vocational Studies [B.Voc] Get Detailed Fees","40,900 *"
"3047","Bachelor of Arts [BA] {Hons.} (Communication Studies) Get Detailed Fees","85,500 *"
"3047","Bachelor of Computer Application [BCA] Get Detailed Fees","76,000 *"
"3047","Bachelor of Science [B.Sc] (Interior Design) Get Detailed Fees","97,200 *"
"3047","Master of Science [M.Sc] Get Detailed Fees","68,400 *"
"3047","Post Graduate Diploma Get Detailed Fees","60,000 *"
"3047","Master of Arts [M.A] Get Detailed Fees","60,500 *"
"3047","Master of Commerce [M.Com] Get Detailed Fees","74,300 *"
"3047","Master of Computer Applications [M.C.A] Get Detailed Fees","100,000 *"
"3047","Post Graduate Diploma in Business Administration Get Detailed Fees","60,000 *"
"3047","Master of Computer Applications [M.C.A] {Lateral} Get Detailed Fees","100,000 *"
"3047","Ph.D",""
"4984","Bachelor of Science [B.Sc] Get Detailed Fees","733 *"
"4984","Bachelor of Arts [BA] Get Detailed Fees","2,400"
"4984","Bachelor of Commerce [B.Com] Get Detailed Fees","29,645"
"4984","Bachelor of Social Work [BSW] Get Detailed Fees","2,400 *"
"4984","Bachelor of Visual Arts [B.V.A] Get Detailed Fees","1,800"
"4984","Bachelor of Business Administration [BBA] Get Detailed Fees","32,645 *"
"4984","Bachelor of Computer Application [BCA] Get Detailed Fees","30,145"
"4984","Bachelor of Vocational Studies [B.Voc.] (Food Processing & Quality Management)",""
"4984","Master of Arts [M.A] Get Detailed Fees","477 *"
"4984","Master of Science [M.Sc] Get Detailed Fees","15,000 *"
"4984","Master of Social Work [MSW] Get Detailed Fees","3,870"
"4984","Master of Commerce [M.Com] Get Detailed Fees","20,000 *"
"4984","Ph.D Get Detailed Fees","2,000 *"
"4984","Master of Philosophy [M.Phil] Get Detailed Fees","4,975"
"4984","Post Graduate Diploma Get Detailed Fees","6,000 *"
"4984","Diploma in Medical Laboratory Technology [DMLT]",""
"2708","Bachelor of Arts [BA] Get Detailed Fees","18,719"
"2708","Bachelor of Science [B.Sc] Get Detailed Fees","19,319"
"2708","Bachelor of Commerce [B.Com] Get Detailed Fees","27,919"
"2708","Bachelor of Social Work [BSW] Get Detailed Fees","25,919"
"2708","Bachelor of Business Administration [BBA] Get Detailed Fees","27,919"
"2708","Bachelor of Computer Application [BCA] Get Detailed Fees","33,919"
"2708","Master of Arts [M.A] Get Detailed Fees","13,607"
"2708","Master of Science [M.Sc] Get Detailed Fees","14,572"
"2708","Master of Social Work [MSW] Get Detailed Fees","15,557"
"2708","Master of Commerce [M.Com] Get Detailed Fees","27,257"
"2708","Master of Computer Applications [M.C.A] Get Detailed Fees","37,211"
"2708","Master of Philosophy [M.Phil]",""
"2708","Ph.D",""
"2708","Diploma Get Detailed Fees","12,000"
"2708","Post Graduate Diploma Get Detailed Fees","14,000"
"2708","Post Graduate Diploma in Human Resource Management [PGDHRM] Get Detailed Fees","14,000"
"2708","Certification Get Detailed Fees","3,000"
"4970","Bachelor of Science [B.Sc] {Hons.} Get Detailed Fees","30,600"
"4970","Bachelor of Arts [BA] Get Detailed Fees","29,600"
"4970","Bachelor of Arts [B.A] {Hons.} Get Detailed Fees","29,600"
"4970","Bachelor of Education [B.Ed] Get Detailed Fees","29,500"
"4970","Bachelor of Management Studies [BMS] Get Detailed Fees","74,200"
"4970","Bachelor of Commerce [B.Com] Get Detailed Fees","42,967"
"4970","Bachelor of Science [B.Sc] + Master of Science [M.Sc] (Multi Media) Get Detailed Fees","112,200"
"4970","Master of Science [M.Sc] Get Detailed Fees","88,000"
"4970","Master of Commerce [M.Com] Get Detailed Fees","90,250"
"4970","Ph.D",""
"4970","Post Graduate Diploma Get Detailed Fees","50,000"
"4970","Post Graduate Diploma in Management [PGDM] Get Detailed Fees","48,000"
"4970","Certification Get Detailed Fees","18,000"
"2651","Master of Business Administration [MBA] Get Detailed Fees","88,000"
"2651","Bachelor of Science [B.Sc] Get Detailed Fees","15,500"
"2651","Bachelor of Commerce [B.Com] Get Detailed Fees","13,500"
"2651","Bachelor of Arts [BA] Get Detailed Fees","11,000"
"2651","Bachelor of Business Administration [BBA] Get Detailed Fees","14,500"
"2651","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","13,500"
"2651","Bachelor of Computer Application [BCA] Get Detailed Fees","18,000"
"2651","Master of Arts [M.A] Get Detailed Fees","19,750"
"2651","Master of Science [M.Sc] Get Detailed Fees","31,750"
"4840","Bachelor of Science [B.Sc] {Hons.} Get Detailed Fees","13,177"
"4840","Bachelor of Arts [B.A] {Hons.} Get Detailed Fees","11,227"
"4840","Bachelor of Arts [BA] Get Detailed Fees","11,227"
"4840","Bachelor of Science [B.Sc] (Life Sciences) Get Detailed Fees","13,177"
"4840","Bachelor of Commerce [B.Com] Get Detailed Fees","11,227"
"4840","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","11,227"
"4840","Master of Science [M.Sc] Get Detailed Fees","12,696"
"4840","Master of Arts [M.A] Get Detailed Fees","12,696"
"15843","Bachelor of Commerce [B.Com] Get Detailed Fees","3,725"
"15843","Bachelor of Vocational Studies [B.Voc] Get Detailed Fees","3,625"
"15843","Bachelor of Management Studies [BMS] Get Detailed Fees","15,825"
"15843","Bachelor of Mass Media [B.M.M.] Get Detailed Fees","15,825"
"15843","Master of Commerce [M.Com]",""
"15843","Ph.D. (Business Economics)",""
"3268","Master of Business Administration [MBA] Get Detailed Fees","50,000 *"
"3268","Bachelor of Arts [BA] Get Detailed Fees","3,367"
"3268","Bachelor of Commerce [B.Com] Get Detailed Fees","14,367"
"3268","Bachelor of Science [B.Sc] Get Detailed Fees","13,367"
"3268","Bachelor of Computer Application [BCA] Get Detailed Fees","15,000 *"
"3268","Bachelor of Science [B.Sc] + Master of Science [M.Sc] (Chemistry) Get Detailed Fees","5,408 *"
"3268","Bachelor of Arts [BA] (Sales and Marketing) Get Detailed Fees","10,367"
"3268","Bachelor of Business Administration [BBA] Get Detailed Fees","15,000 *"
"3268","Master of Arts [M.A] Get Detailed Fees","3,500 *"
"3268","Master of Science [M.Sc] Get Detailed Fees","4,360 *"
"3268","Master of Computer Applications [M.C.A] Get Detailed Fees","45,220 *"
"3268","Master of Commerce [M.Com] Get Detailed Fees","3,900 *"
"2772","Bachelor of Science [B.Sc]",""
"2772","Bachelor of Business Management [BBM]",""
"2772","Bachelor of Commerce [B.Com]",""
"2772","Master of Arts [M.A]",""
"2772","Master of Science [M.Sc]",""
"1999","Bachelor of Arts [B.A] {Hons.} Get Detailed Fees","22,263"
"1999","Bachelor of Science [B.Sc] {Hons.} Get Detailed Fees","23,763"
"1999","Bachelor of Arts [BA] Get Detailed Fees","19,397"
"1999","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","23,763"
"1999","Master of Arts [M.A]",""
"1999","Master of Science [M.Sc]",""
"15792","Master of Business Administration [MBA] Get Detailed Fees","8,254"
"15792","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","2,895"
"15792","Master of Commerce [M.Com] (Accounting and Finance) Get Detailed Fees","1,809"
"1010","Bachelor of Arts [B.A] {Hons.} Get Detailed Fees","10,015"
"1010","Bachelor of Science [B.Sc] {Hons.}",""
"1010","Bachelor of Arts [BA] Get Detailed Fees","10,615"
"1010","Bachelor of Commerce [B.Com] Get Detailed Fees","10,015"
"1010","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","10,015"
"1010","Diploma in German",""
"1010","Certificate Course in Mass Media",""
"1265","Master of Business Administration [MBA] Get Detailed Fees","57,469"
"1265","Bachelor of Science [B.Sc] Get Detailed Fees","10,056"
"1265","Bachelor of Arts [BA] Get Detailed Fees","9,456"
"1265","Bachelor of Commerce [B.Com] (Corporate Secretaryship) Get Detailed Fees","9,456"
"1265","Master of Science [M.Sc]",""
"1265","Master of Arts [M.A]",""
"1265","Master of Commerce [M.Com]",""
"1265","Master of Computer Applications [M.C.A] Get Detailed Fees","43,199"
"2229","Bachelor of Arts [BA] Get Detailed Fees","8,675"
"2229","Bachelor of Commerce [B.Com] Get Detailed Fees","23,662"
"2229","Bachelor of Management Studies [BMS] Get Detailed Fees","23,228"
"2229","Bachelor of Mass Media [B.M.M.] Get Detailed Fees","23,928"
"2229","Master of Commerce [M.Com] Get Detailed Fees","12,008"
"2229","Ph.D",""
"1351","Bachelor of Arts [B.A] {Hons.} Get Detailed Fees","9,075 *"
"1351","Bachelor of Science [B.Sc] {Hons.} Get Detailed Fees","9,875 *"
"1351","Bachelor of Arts [BA] Get Detailed Fees","9,475 *"
"1351","Bachelor of Science [B.Sc] Get Detailed Fees","10,125"
"1351","Bachelor of Elementary Education [B.El.Ed] Get Detailed Fees","13,265 *"
"1351","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","9,275"
"1351","Bachelor of Commerce [B.Com] Get Detailed Fees","9,275 *"
"1351","Bachelor in Business Economics [BBE] Get Detailed Fees","38,000"
"1351","Master of Arts [M.A] Get Detailed Fees","10,161"
"1351","Master of Science [M.Sc] (Chemistry) Get Detailed Fees","10,811"
"4165","Bachelor of Business Administration [BBA] Get Detailed Fees","40,000 *"
"4165","Bachelor of Commerce [B.Com] Get Detailed Fees","36,000 *"
"4165","Bachelor of Computer Application [BCA] Get Detailed Fees","40,000 *"
"4165","Master of International Business [MIB] Get Detailed Fees","36,000 *"
"4165","Master of Finance and Accounting Get Detailed Fees","36,000 *"
"4165","Master of Commerce [M.Com] Get Detailed Fees","36,000 *"
"2177","Bachelor of Arts [B.A] {Hons.} Get Detailed Fees","13,487"
"2177","Bachelor of Vocational Studies [B.Voc]",""
"2177","Bachelor of Tourism Studies [BTS]",""
"2177","Bachelor of Arts [BA] Get Detailed Fees","13,487"
"2177","Bachelor of Elementary Education [B.El.Ed] Get Detailed Fees","18,686"
"2177","Bachelor of Commerce [B.Com] Get Detailed Fees","13,487"
"2177","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","13,687"
"2177","Bachelor of Science [B.Sc] {Hons.} (Mathematics) Get Detailed Fees","14,887"
"2177","Master of Arts [M.A] Get Detailed Fees","13,533"
"2177","Master of Arts [M.A] Get Detailed Fees","13,533"
"2177","Master of Population Studies [MPS]",""
"2177","Master of Tourism Management [MTM]",""
"2177","Master of Performing Arts [MPA]",""
"2177","Certification Get Detailed Fees","15,000"
"690","Bachelor of Business Administration [BBA] Get Detailed Fees","18,000"
"690","Bachelor of Business Management [BBM] (International Business) Get Detailed Fees","18,000"
"690","Bachelor of Commerce [B.Com] Get Detailed Fees","12,000 *"
"690","Bachelor of Computer Application [BCA] Get Detailed Fees","25,000 *"
"690","Master of Commerce [M.Com] Get Detailed Fees","20,000 *"
"690","M.Phil. (Commerce)",""
"690","Ph.D. (Commerce)",""
"4891","Master of Business Administration [MBA]",""
"4891","Bachelor of Science [B.Sc] Get Detailed Fees","37,500"
"4891","Bachelor of Arts [BA] Get Detailed Fees","18,000"
"4891","Bachelor of Commerce [B.Com] Get Detailed Fees","18,000"
"4891","Bachelor of Business Administration [BBA] Get Detailed Fees","18,000"
"4891","Bachelor of Vocational Studies [B.Voc.] (Renewable Energy Management)",""
"4891","Bachelor of Physical Education [B.P.Ed]",""
"4891","Master of Science [M.Sc] Get Detailed Fees","45,000"
"4891","Master of Arts [M.A] Get Detailed Fees","37,500"
"4891","Master of Social Work [MSW] Get Detailed Fees","37,500"
"4891","Master of Commerce [M.Com] (Finance) Get Detailed Fees","37,500"
"4712","Bachelor of Commerce [B.Com] Get Detailed Fees","46,854 *"
"4712","Post Graduate Diploma in Management [PGDM] Get Detailed Fees","325,000 *"
"4192","Bachelor of Arts [B.A] {Hons.} Get Detailed Fees","6,448"
"4192","Bachelor of Arts [BA] Get Detailed Fees","6,448"
"4192","Bachelor of Commerce [B.Com] Get Detailed Fees","6,748"
"4192","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","6,748"
"4192","Bachelor of Science [B.Sc] {Hons.} (Mathematics) Get Detailed Fees","5,955"
"4192","Master of Commerce [M.Com] Get Detailed Fees","6,941"
"3981","Bachelor of Science [B.Sc] Get Detailed Fees","5,890"
"3981","Bachelor of Arts [BA] Get Detailed Fees","5,090"
"3981","Bachelor of Commerce [B.Com] Get Detailed Fees","33,240"
"3981","Bachelor of Computer Application [BCA] (Cloud Technology and Mobile Applications) Get Detailed Fees","78,583"
"3981","Master of Science [M.Sc] Get Detailed Fees","9,503"
"3981","Master of Arts [M.A] Get Detailed Fees","102,500"
"3981","Master of Commerce [M.Com] Get Detailed Fees","7,403"
"3981","Master of Communication & Journalism (MCJ) Get Detailed Fees","72,500"
"3981","Ph.D",""
"3981","Master of Philosophy [M.Phil]",""
"28307","Bachelor of Commerce [B.Com] Get Detailed Fees","36,300"
"28307","Bachelor of Science [B.Sc] Get Detailed Fees","26,300"
"28307","Bachelor of Business Administration [BBA] Get Detailed Fees","39,300"
"28307","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","36,300"
"28307","Master of Commerce [M.Com] Get Detailed Fees","12,710 *"
"15841","Bachelor of Commerce [B.Com] Get Detailed Fees","2,292"
"15841","Master of Commerce [M.Com]",""
"4742","Bachelor of Arts [B.A] {Hons.} Get Detailed Fees","24,697"
"4742","Bachelor of Management Studies [BMS] Get Detailed Fees","25,233"
"4742","Bachelor of Commerce [B.Com] Get Detailed Fees","24,697"
"4742","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","24,697"
"4742","Bachelor of Science [B.Sc] {Hons.} (Computer Science) Get Detailed Fees","40,700"
"4742","Master of Commerce [M.Com]",""
"4742","Post graduate Diploma in International Marketing [PGDIM] Get Detailed Fees","59,920"
"4742","DBJCC - Diploma in Business Journalism & Corporate Communication Get Detailed Fees","59,920"
"4742","Certificate Course in Advanced Excel Get Detailed Fees","4,956"
"3479","Bachelor of Arts [BA] Get Detailed Fees","1,242"
"3479","Bachelor of Science [B.Sc] Get Detailed Fees","1,262"
"3479","Bachelor of Computer Application [BCA] Get Detailed Fees","1,262"
"3479","Master of Science [M.Sc] Get Detailed Fees","923"
"3479","Master of Arts [M.A] Get Detailed Fees","863"
"3479","Master of Commerce [M.Com] Get Detailed Fees","863"
"3479","Master of Social Work [MSW] Get Detailed Fees","863"
"3479","Master of Computer Applications [M.C.A] Get Detailed Fees","1,412"
"3479","Ph.D",""
"3479","Master of Philosophy [M.Phil] Get Detailed Fees","2,215"
"3479","Bachelor of Commerce [B.Com] Get Detailed Fees","1,262"
"4887","Bachelor of Arts [B.A] {Hons.} Get Detailed Fees","65,600"
"4887","Bachelor of Business Administration [BBA] Get Detailed Fees","77,433"
"4887","Certificate Course in Spoken English Get Detailed Fees","2,400"
"4887","Bachelor of Commerce [B.Com] Get Detailed Fees","65,600"
"4887","Bachelor of Computer Application [BCA] Get Detailed Fees","77,433"
"4887","Master of Arts [M.A] Get Detailed Fees","55,250"
"4887","Master of Human Resource Management [MHRM] Get Detailed Fees","55,250"
"4887","Post Graduate Diploma in Financial Planning Get Detailed Fees","43,000"
"4887","Master of Science [M.Sc.] (Information Technology) Get Detailed Fees","55,250"
"4887","Master of Commerce [M.Com] (Economic Administration and Financial Management ) Get Detailed Fees","55,250"
"4909","Bachelor of Commerce [B.Com] Get Detailed Fees","10,000"
"4909","Bachelor of Arts [BA] (Social Science) Get Detailed Fees","10,000"
"4909","Bachelor of Management Studies [BMS] Get Detailed Fees","10,000"
"4909","Bachelor of Science [B.Sc] Get Detailed Fees","10,000"
"4909","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","10,000"
"4909","Bachelor of Vocational Studies [B.Voc.] (Retail Management & Information Technology) Get Detailed Fees","10,000"
"4909","Master of Science [M.Sc] Get Detailed Fees","27,055 *"
"4909","Master of Arts [MA] (Mass Communication & Journalism) Get Detailed Fees","7,360 *"
"4909","Master of Commerce [M.Com] (Applied Finance and Accounting) Get Detailed Fees","12,080 *"
"4909","Ph.D. (Microbiology)",""
"4909","Post Graduate Diploma in Human Resource Management [PGDHRM] Get Detailed Fees","50,000"
"4909","Post Graduate Diploma in Psychological Counseling Get Detailed Fees","50,000"
"4909","Post Graduate Certificate in Data Science Get Detailed Fees","50,000"
"3006","Bachelor of Commerce [B.Com] Get Detailed Fees","5,545"
"3006","Bachelor of Science [B.Sc] Get Detailed Fees","28,645"
"3006","Bachelor of Arts [BA] Get Detailed Fees","5,545"
"3006","Bachelor of Management Studies [BMS] Get Detailed Fees","17,445"
"3006","Bachelor of Mass Media [B.M.M.] Get Detailed Fees","17,645"
"3006","Master of Science [M.Sc] Get Detailed Fees","25,838"
"3006","Master of Arts [M.A] Get Detailed Fees","10,838"
"3006","Master of Commerce [M.Com] Get Detailed Fees","12,558"
"3006","Ph.D. (Commerce)",""
"2209","Master of Business Administration [MBA] Get Detailed Fees","120,000"
"2209","Bachelor of Science [B.Sc] Get Detailed Fees","30,000 *"
"2209","Bachelor of Arts [BA] Get Detailed Fees","20,492 *"
"2209","Bachelor of Vocational Studies [B.Voc] Get Detailed Fees","30,000 *"
"2209","Bachelor of Library and Information Science [B.Lib.I.Sc]",""
"2209","Bachelor of Business Administration [BBA] Get Detailed Fees","48,000 *"
"2209","Bachelor of Commerce [B.Com] (Tourism and Travel Management) Get Detailed Fees","30,000 *"
"2209","Bachelor of Computer Application [BCA] Get Detailed Fees","48,000 *"
"2209","Bachelor of Tourism Studies [BTS] Get Detailed Fees","40,000 *"
"2209","Post Graduate Diploma In Environment And Sustainable Development",""
"2209","Master of Science [M.Sc] (Organic Chemistry) Get Detailed Fees","40,000"
"2209","Master of Computer Applications [M.C.A] Get Detailed Fees","60,000"
"2209","Master of Commerce [M.Com] (Financial Analysis) Get Detailed Fees","80,000"
"2209","Master of Library and Information Science [M.Lib] Get Detailed Fees","40,000 *"
"2209","Master of Arts [M.A] Get Detailed Fees","40,000 *"
"2209","Master of Arts [MA] (English) Get Detailed Fees","40,000"
"2209","Master of Philosophy [M.Phil]",""
"2209","Ph.D",""
"2209","Ph.D. (Management Studies)",""
"2209","Diploma Get Detailed Fees","40,000 *"
"2209","Master of Tourism Management [MTM] Get Detailed Fees","40,000 *"
"2209","Post Graduate Diploma in Human Resource Management [PGDHRM]",""
"2209","Certification",""
"15659","Bachelor of Commerce [B.Com]",""
"15659","Master of Arts [MA] (English)",""
"15659","Bachelor of Arts [BA]",""
"16112","Bachelor of Management Studies [BMS]",""
"16112","Bachelor of Commerce [B.Com]",""
"16112","Master of Commerce [M.Com] Get Detailed Fees","12,600"
"16112","Diploma in Management",""
"16112","Ph.D. (Banking & Finance)",""
"16112","Certification Get Detailed Fees","7,500"
"16112","Certification Get Detailed Fees","500"
"16112","Oriented Program in Computer Networks Get Detailed Fees","3,000"
"15598","Bachelor of Business Administration [BBA] Get Detailed Fees","225,000 *"
"15598","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","125,000 *"
"15598","Bachelor of Business Administration [BBA] + Master of Management Studies [MMS] Get Detailed Fees","225,000 *"
"15598","Bachelor of Science [B.Sc] (Finance) Get Detailed Fees","225,000 *"
"15598","Master of Science [M.Sc] (Finance) Get Detailed Fees","250,000 *"
"3708","Bachelor of Arts [B.A] {Hons.} Get Detailed Fees","10,572"
"3708","Bachelor of Science [B.Sc] {Hons.} Get Detailed Fees","14,687"
"3708","Bachelor of Science [B.Sc] Get Detailed Fees","13,220"
"3708","Bachelor of Arts [BA] Get Detailed Fees","10,572"
"3708","Bachelor of Commerce [B.Com] Get Detailed Fees","10,572"
"3708","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","11,705"
"3708","Master of Arts [M.A] Get Detailed Fees","10,942"
"3708","Master of Science [M.Sc] Get Detailed Fees","11,612"
"3708","Master of Commerce [M.Com] Get Detailed Fees","10,942"
"3708","Certification",""
"2100","Bachelor of Science [B.Sc] Get Detailed Fees","7,348"
"2100","Bachelor of Commerce [B.Com] Get Detailed Fees","6,147"
"2100","Bachelor of Arts [BA] Get Detailed Fees","6,148"
"2100","Bachelor of Management Studies [BMS] Get Detailed Fees","20,015"
"2100","Bachelor of Mass Media [B.M.M.] Get Detailed Fees","22,248"
"2100","Bachelor of Vocational Studies [B.Voc.] (Software Development) Get Detailed Fees","7,948"
"2100","Master of Commerce [M.Com] Get Detailed Fees","14,753"
"2100","Ph.D Get Detailed Fees","20,130"
"15984","Bachelor of Commerce [B.Com] Get Detailed Fees","16,941 *"
"15984","Bachelor of Management Studies [BMS] Get Detailed Fees","16,591 *"
"15984","Bachelor of Science [B.Sc] (Information Technology) Get Detailed Fees","24,156 *"
"15984","Bachelor of Mass Media [B.M.M.] Get Detailed Fees","16,841 *"
"15984","Master of Commerce [M.Com] Get Detailed Fees","25,107 *"
"3860","Bachelor of Science [B.Sc] Get Detailed Fees","6,263 *"
"3860","Bachelor of Arts [BA] Get Detailed Fees","5,025 *"
"3860","Bachelor of Management Studies [BMS] Get Detailed Fees","25,741 *"
